iter,seed,n_agents,estimator,p,snd_t,snd_des,reward_mean,metric_time_ms,scaling_ratio_mean,applied_snd,out_loc_norm_mean
0,1,50,graph_p01,0.1,0.23042994737625122,0.14000000059604645,0.2160833328962326,2.0683536864385976,0.6997264009934885,0.16123791775870322,0.0
1,1,50,graph_p01,0.1,0.282476544380188,0.14000000059604645,0.203166663646698,2.0522862944441536,0.5491217900205542,0.15511402568886934,0.0
2,1,50,graph_p01,0.1,0.32965222001075745,0.14000000059604645,0.20491667091846466,2.0447796872489294,0.4584702957559515,0.15113575080493796,0.0
3,1,50,graph_p01,0.1,0.36979249119758606,0.14000000059604645,0.20391666889190674,2.066118412659745,0.40020132064819336,0.14799144334305936,0.0
4,1,50,graph_p01,0.1,0.40034204721450806,0.14000000059604645,0.19208332896232605,2.0362585576044188,0.3636387717944604,0.14557989034676358,0.0
5,1,50,graph_p01,0.1,0.43124595284461975,0.14000000059604645,0.203166663646698,2.0496761458667203,0.337212711903784,0.14542161725626557,0.0
6,1,50,graph_p01,0.1,0.4632198214530945,0.14000000059604645,0.21033333241939545,2.0550799073168524,0.3133572311313064,0.1451532806556798,0.0
7,1,50,graph_p01,0.1,0.5034418106079102,0.14000000059604645,0.21941666305065155,2.0544835377087884,0.28972384322572636,0.145859096209842,0.0
8,1,50,graph_p01,0.1,0.5444737672805786,0.14000000059604645,0.226666659116745,2.0446036871160485,0.2670657983532658,0.145410321341198,0.0
9,1,50,graph_p01,0.1,0.5869100093841553,0.14000000059604645,0.23108333349227905,2.0298235327505543,0.24768944868335016,0.1453714166511013,1.1254127506453592e-10
10,1,50,graph_p01,0.1,0.6316308379173279,0.14000000059604645,0.23133333027362823,2.0517567431347237,0.2294020434220632,0.144897404906625,0.0
11,1,50,graph_p01,0.1,0.6695073246955872,0.14000000059604645,0.23600000143051147,2.039419136794836,0.21517730989941844,0.1440627850859529,0.0
12,1,50,graph_p01,0.1,0.7333754301071167,0.14000000059604645,0.23475000262260437,2.0634058552483716,0.19950819848864168,0.1463144108765036,0.0
13,1,50,graph_p01,0.1,0.7823163270950317,0.14000000059604645,0.2423333376646042,2.062672701733256,0.18461048354705176,0.1444237954317673,9.869015522496667e-11
14,1,50,graph_p01,0.1,0.8161153197288513,0.14000000059604645,0.24591666460037231,2.052610735107144,0.17520714236630333,0.142989233011054,0.0
15,1,50,graph_p01,0.1,0.8586053252220154,0.14000000059604645,0.2420833259820938,2.0671226875425353,0.16674629510552794,0.14316925693864796,5.4693640563043655e-12
16,1,50,graph_p01,0.1,0.9039948582649231,0.14000000059604645,0.2473333328962326,2.0557386309115424,0.15887781238114393,0.14362472548493324,2.665403999570883e-09
17,1,50,graph_p01,0.1,0.9536483883857727,0.14000000059604645,0.24383333325386047,2.0605540073356003,0.15103943585245697,0.1440385145833919,2.3904398727948296e-11
18,1,50,graph_p01,0.1,1.0185197591781616,0.14000000059604645,0.24533332884311676,2.0444276229547405,0.14187460447903033,0.1445020879874789,6.232612769661192e-09
19,1,50,graph_p01,0.1,1.0655550956726074,0.14000000059604645,0.24116666615009308,2.0653024962585835,0.1345649023298864,0.14338631737629717,6.570045024484122e-10
20,1,50,graph_p01,0.1,1.117044448852539,0.14000000059604645,0.24416667222976685,2.059082084128426,0.1280916232201788,0.14308403666261174,7.777880036532294e-10
21,1,50,graph_p01,0.1,1.168867588043213,0.14000000059604645,0.24191667139530182,2.0535703662231013,0.12225657533164377,0.14290174833032182,3.3129860336581865e-10
22,1,50,graph_p01,0.1,1.2305140495300293,0.14000000059604645,0.24308332800865173,2.0447238488553987,0.11665269682804744,0.14354278236247944,8.060630219033401e-09
23,1,50,graph_p01,0.1,1.2802785634994507,0.14000000059604645,0.24899999797344208,2.05547198118573,0.11147347200247977,0.14271709660363102,0.0
24,1,50,graph_p01,0.1,1.357863187789917,0.14000000059604645,0.23383332788944244,2.05675969180582,0.10615756304727661,0.1441474469673841,5.7610975913164185e-08
25,1,50,graph_p01,0.1,1.416047215461731,0.14000000059604645,0.24375000596046448,2.0277472139612116,0.10088793442205146,0.14286207861203168,6.653686398866226e-09
26,1,50,graph_p01,0.1,1.4639334678649902,0.14000000059604645,0.25041666626930237,2.0502806697213263,0.09741982687954549,0.14261614500258002,4.667854338670148e-08
27,1,50,graph_p01,0.1,1.5080071687698364,0.14000000059604645,0.23858332633972168,2.0504624033088072,0.0941563369223365,0.14198843106399148,9.267161362782235e-08
28,1,50,graph_p01,0.1,1.5698825120925903,0.14000000059604645,0.2436666637659073,2.042020626228165,0.09108939562682752,0.1429996492316398,8.265172286951265e-08
29,1,50,graph_p01,0.1,1.6235785484313965,0.14000000059604645,0.25683334469795227,2.0370243250875286,0.08770480128350082,0.14239563395833033,4.718741389272254e-08
30,1,50,graph_p01,0.1,1.6846858263015747,0.14000000059604645,0.2435833364725113,2.0593806131122014,0.08458274820888484,0.1424953570571432,1.0878668444855197e-07
31,1,50,graph_p01,0.1,1.7314479351043701,0.14000000059604645,0.2575833201408386,2.0674440701474883,0.08211179654355402,0.14217230057304678,1.5716282548209604e-07
32,1,50,graph_p01,0.1,1.7796378135681152,0.14000000059604645,0.25575000047683716,2.0486794632031686,0.07961143051032667,0.1416795121284277,6.766808347207714e-08
33,1,50,graph_p01,0.1,1.8723646402359009,0.14000000059604645,0.24716666340827942,2.0605840549925,0.07675953443955492,0.1437218380855925,5.879391699364088e-07
34,1,50,graph_p01,0.1,1.9724429845809937,0.14000000059604645,0.2526666522026062,2.0507296243320323,0.07280020167430241,0.1435942470685593,6.140760381673935e-08
35,1,50,graph_p01,0.1,1.9747930765151978,0.14000000059604645,0.2590833306312561,2.068086171143309,0.07112839903544496,0.14046386995880697,5.4294955568703446e-08
36,1,50,graph_p01,0.1,2.0333361625671387,0.14000000059604645,0.25591665506362915,2.054457006656944,0.0698300274433913,0.14198792003370325,3.562385137300816e-08
37,1,50,graph_p01,0.1,2.053774118423462,0.14000000059604645,0.2644166648387909,2.0553745478132948,0.06851715260633716,0.1407187546909659,1.3054122461906869e-08
38,1,50,graph_p01,0.1,2.119755268096924,0.14000000059604645,0.257999986410141,2.061601473596292,0.06714845332834456,0.1423382876873188,1.357327810805177e-07
39,1,50,graph_p01,0.1,2.144926071166992,0.14000000059604645,0.2605833411216736,2.0429229083539986,0.06584310396401971,0.1412285902989846,1.227711162849024e-07
40,1,50,graph_p01,0.1,2.1681578159332275,0.14000000059604645,0.265749990940094,2.057072733252965,0.06507670203292812,0.14109656014785085,8.06389406374616e-08
41,1,50,graph_p01,0.1,2.2325313091278076,0.14000000059604645,0.26633334159851074,2.0520473235390253,0.06369104250161736,0.14219224649585063,1.8753982505960287e-07
42,1,50,graph_p01,0.1,2.3058724403381348,0.14000000059604645,0.2684166729450226,2.0665344368252487,0.06161817464011687,0.14208365072658766,9.908273361102103e-08
43,1,50,graph_p01,0.1,2.3259291648864746,0.14000000059604645,0.27783334255218506,2.0409914535573788,0.0605885098653811,0.1409245821529018,1.1339056855716764e-07
44,1,50,graph_p01,0.1,2.3924856185913086,0.14000000059604645,0.2639999985694885,2.047129557899165,0.05924011880048999,0.1417311322738129,1.1792026760533527e-07
45,1,50,graph_p01,0.1,2.4524776935577393,0.14000000059604645,0.2736666798591614,2.039306578700672,0.057929478323570004,0.14207075338799202,1.246147424131045e-07
46,1,50,graph_p01,0.1,2.5347096920013428,0.14000000059604645,0.27308332920074463,2.0584333291346275,0.056334830475626166,0.14279244080382225,2.040065834981977e-07
47,1,50,graph_p01,0.1,2.6162362098693848,0.14000000059604645,0.2672500014305115,2.0525398560696178,0.05443662990022589,0.1424190822882294,1.106685265955809e-07
48,1,50,graph_p01,0.1,2.6554298400878906,0.14000000059604645,0.27558332681655884,2.0511320031127305,0.05326932527952724,0.14145295590860485,8.129376310311853e-08
