iter,seed,n_agents,estimator,p,snd_t,snd_des,reward_mean,metric_time_ms,scaling_ratio_mean,applied_snd,out_loc_norm_mean
0,1,50,graph_p01,0.1,0.22855189442634583,0.15000000596046448,0.2160833328962326,2.022147124322752,0.7519546272578063,0.17186065458242836,0.0
1,1,50,graph_p01,0.1,0.28179147839546204,0.15000000596046448,0.2045000046491623,1.9925190379446442,0.5926895329245815,0.16701485971233368,0.0
2,1,50,graph_p01,0.1,0.3314496576786041,0.15000000596046448,0.2057500034570694,1.9766210418849908,0.49058367565826133,0.16260379135964206,0.0
3,1,50,graph_p01,0.1,0.37652623653411865,0.15000000596046448,0.20758333802223206,2.002248468300052,0.4244103023299464,0.15980161388260222,0.0
4,1,50,graph_p01,0.1,0.4139491319656372,0.15000000596046448,0.19458332657814026,1.9738124053994264,0.3792875326342053,0.15700574489931757,0.0
5,1,50,graph_p01,0.1,0.44402968883514404,0.15000000596046448,0.2082500010728836,1.9997152101024296,0.34994339335847785,0.15538525606287934,0.0
6,1,50,graph_p01,0.1,0.47255825996398926,0.15000000596046448,0.2084166705608368,2.0020583004225045,0.32830060886012186,0.15514116446805742,0.0
7,1,50,graph_p01,0.1,0.5198516845703125,0.15000000596046448,0.2201666682958603,1.996129404977654,0.3025235739019182,0.1572673895151436,0.0
8,1,50,graph_p01,0.1,0.5607622861862183,0.15000000596046448,0.22591666877269745,1.9946133094857,0.27761418764238005,0.1556755665400708,0.0
9,1,50,graph_p01,0.1,0.6048999428749084,0.15000000596046448,0.22458332777023315,1.982712595835673,0.2570836811153977,0.15550990402077525,0.0
10,1,50,graph_p01,0.1,0.6542155742645264,0.15000000596046448,0.23716667294502258,1.9953540401291792,0.23854235421728204,0.15605812325067123,0.0
11,1,50,graph_p01,0.1,0.7040269374847412,0.15000000596046448,0.23933333158493042,1.9901968312398013,0.22102214004154558,0.15560554036977292,3.85272622042091e-08
12,1,50,graph_p01,0.1,0.7564878463745117,0.15000000596046448,0.23491667211055756,2.0070693447013146,0.20547346671422323,0.15543818032174764,3.687929802078084e-09
13,1,50,graph_p01,0.1,0.8145126104354858,0.15000000596046448,0.2356666624546051,2.0258769080370524,0.1911758272184266,0.15571512207984406,3.5586459514160264e-08
14,1,50,graph_p01,0.1,0.8603636622428894,0.15000000596046448,0.24025000631809235,2.00696050262734,0.17877585407760407,0.15381224853480782,4.5678144677201935e-09
15,1,50,graph_p01,0.1,0.8968368172645569,0.15000000596046448,0.23008333146572113,2.024597291300004,0.17041848257735923,0.1528375695177342,8.202127486502428e-08
16,1,50,graph_p01,0.1,0.9467722773551941,0.15000000596046448,0.2319166660308838,2.0071419001194752,0.16225216465967673,0.1536158514406521,4.417825394089883e-09
17,1,50,graph_p01,0.1,0.9779155254364014,0.15000000596046448,0.23641666769981384,2.016106635737405,0.15613625176526882,0.1526880646847031,7.029037001034912e-08
18,1,50,graph_p01,0.1,1.0233854055404663,0.15000000596046448,0.22758333384990692,1.999667542124236,0.14979804704586666,0.1533011351252041,5.075906624070018e-08
19,1,50,graph_p01,0.1,1.0838384628295898,0.15000000596046448,0.23250000178813934,2.0159062263297125,0.14248993269823215,0.15443606962434364,1.7390594430945667e-08
20,1,50,graph_p01,0.1,1.1796518564224243,0.15000000596046448,0.23133333027362823,2.007105224119085,0.13239261866719634,0.15617719838738428,3.297139901093638e-08
21,1,50,graph_p01,0.1,1.2325439453125,0.15000000596046448,0.23199999332427979,2.0021257305483298,0.12445374605832277,0.15339471117564513,4.3807590111603876e-08
22,1,50,graph_p01,0.1,1.3030519485473633,0.15000000596046448,0.23074999451637268,2.0084278063020773,0.11828020300578188,0.15412524900126176,1.3007958884460583e-07
23,1,50,graph_p01,0.1,1.3753830194473267,0.15000000596046448,0.23941665887832642,2.011739842688527,0.11192189968294568,0.1539354803282106,1.4736627599022923e-07
24,1,50,graph_p01,0.1,1.463031530380249,0.15000000596046448,0.2278333306312561,2.018908400916391,0.10564720647202598,0.15456519416516631,3.679958248940847e-08
25,1,50,graph_p01,0.1,1.50300133228302,0.15000000596046448,0.23733332753181458,2.0008174299383192,0.1012715054055055,0.15221120754678183,1.0789169478878002e-07
26,1,50,graph_p01,0.1,1.5741360187530518,0.15000000596046448,0.2368333339691162,2.0044869491054365,0.09746362238570495,0.1534209985154844,1.5854535028103428e-07
27,1,50,graph_p01,0.1,1.6319828033447266,0.15000000596046448,0.23591665923595428,2.007045988553997,0.09369887817237112,0.15291495787000223,6.710740885112311e-08
28,1,50,graph_p01,0.1,1.7254806756973267,0.15000000596046448,0.24133333563804626,1.9900361194568514,0.08917452808883455,0.15386892498171248,3.65249891863488e-08
29,1,50,graph_p01,0.1,1.7838340997695923,0.15000000596046448,0.23491667211055756,1.9879182261690773,0.08584178252904504,0.15312749886031615,5.919429925129254e-08
30,1,50,graph_p01,0.1,1.87903892993927,0.15000000596046448,0.23866666853427887,2.0117873875682966,0.08191767980655035,0.1539265094068081,2.8444893521059507e-08
31,1,50,graph_p01,0.1,1.9997097253799438,0.15000000596046448,0.24508333206176758,2.0243016987849303,0.07717605100737678,0.15432969976586994,6.913294857937816e-08
32,1,50,graph_p01,0.1,2.0053389072418213,0.15000000596046448,0.25333333015441895,1.9891062143465712,0.07501366839364723,0.1504278278047169,1.9547333570001256e-08
33,1,50,graph_p01,0.1,2.1129350662231445,0.15000000596046448,0.24525000154972076,2.0149001539081195,0.07273734576172299,0.15368928848394192,6.897128957390599e-08
34,1,50,graph_p01,0.1,2.1365914344787598,0.15000000596046448,0.2619166672229767,2.007374895253667,0.07070486299969532,0.1510674046611432,2.1412131903049157e-08
35,1,50,graph_p01,0.1,2.2303009033203125,0.15000000596046448,0.2539166808128357,2.020372561161855,0.06881426959126084,0.15347652763071656,8.403401579634193e-09
