iter,seed,n_agents,estimator,p,snd_t,snd_des,reward_mean,metric_time_ms,scaling_ratio_mean,applied_snd,out_loc_norm_mean
62,0,50,full,1.0,nan,-1.0,0.44600000977516174,nan,1.0,nan,0.00010309031387334
63,0,50,full,1.0,nan,-1.0,0.44225001335144043,nan,1.0,nan,0.00012198464438471193
64,0,50,full,1.0,nan,-1.0,0.43541666865348816,nan,1.0,nan,0.0001200646982734152
65,0,50,full,1.0,nan,-1.0,0.45008334517478943,nan,1.0,nan,0.00020880562523315247
66,0,50,full,1.0,nan,-1.0,0.437333345413208,nan,1.0,nan,0.00016051808671801592
67,0,50,full,1.0,nan,-1.0,0.44583332538604736,nan,1.0,nan,0.00010783372506719186
68,0,50,full,1.0,nan,-1.0,0.437666654586792,nan,1.0,nan,9.763592775184575e-05
69,0,50,full,1.0,nan,-1.0,0.44183334708213806,nan,1.0,nan,0.00014790316280494963
70,0,50,full,1.0,nan,-1.0,0.4411666691303253,nan,1.0,nan,0.0001309769578087812
71,0,50,full,1.0,nan,-1.0,0.44075000286102295,nan,1.0,nan,0.00017026405884179338
72,0,50,full,1.0,nan,-1.0,0.4404166638851166,nan,1.0,nan,0.00014545770164760245
73,0,50,full,1.0,nan,-1.0,0.4416666626930237,nan,1.0,nan,0.00016811670144239476
74,0,50,full,1.0,nan,-1.0,0.4313333332538605,nan,1.0,nan,0.00015686485482243977
75,0,50,full,1.0,nan,-1.0,0.4313333332538605,nan,1.0,nan,0.0001482612397079787
76,0,50,full,1.0,nan,-1.0,0.4285833239555359,nan,1.0,nan,0.0001672147779000052
77,0,50,full,1.0,nan,-1.0,0.43316665291786194,nan,1.0,nan,0.00015816287500287958
78,0,50,full,1.0,nan,-1.0,0.4388333261013031,nan,1.0,nan,0.00016133701524436388
79,0,50,full,1.0,nan,-1.0,0.4336666762828827,nan,1.0,nan,0.00016840934611671535
80,0,50,full,1.0,nan,-1.0,0.4259999990463257,nan,1.0,nan,0.0002714018605830562
81,0,50,full,1.0,nan,-1.0,0.4267500042915344,nan,1.0,nan,0.00018577399810224218
82,0,50,full,1.0,nan,-1.0,0.4261666536331177,nan,1.0,nan,0.00019272999596540576
83,0,50,full,1.0,nan,-1.0,0.4363333284854889,nan,1.0,nan,0.0002532920168488528
84,0,50,full,1.0,nan,-1.0,0.42391666769981384,nan,1.0,nan,0.00022093240663202272
85,0,50,full,1.0,nan,-1.0,0.43783333897590637,nan,1.0,nan,0.000329583549238224
86,0,50,full,1.0,nan,-1.0,0.4248333275318146,nan,1.0,nan,0.00036887023231463024
87,0,50,full,1.0,nan,-1.0,0.4334166646003723,nan,1.0,nan,0.00031354293368403215
88,0,50,full,1.0,nan,-1.0,0.43541666865348816,nan,1.0,nan,0.00041015570642668065
89,0,50,full,1.0,nan,-1.0,0.4310833215713501,nan,1.0,nan,0.0002544996013899368
90,0,50,full,1.0,nan,-1.0,0.43066665530204773,nan,1.0,nan,0.00031214598539345726
91,0,50,full,1.0,nan,-1.0,0.43041667342185974,nan,1.0,nan,0.0003487709521087473
92,0,50,full,1.0,nan,-1.0,0.4272499978542328,nan,1.0,nan,0.0002510174380774886
93,0,50,full,1.0,nan,-1.0,0.42649999260902405,nan,1.0,nan,0.0002459463360773279
94,0,50,full,1.0,nan,-1.0,0.42241665720939636,nan,1.0,nan,0.0003348213578983969
95,0,50,full,1.0,nan,-1.0,0.41591665148735046,nan,1.0,nan,0.0002869681434714477
96,0,50,full,1.0,nan,-1.0,0.42800000309944153,nan,1.0,nan,0.0002645364905388474
97,0,50,full,1.0,nan,-1.0,0.4246666729450226,nan,1.0,nan,0.0002926700629932047
98,0,50,full,1.0,nan,-1.0,0.42241665720939636,nan,1.0,nan,0.00024259358089895815
