estimator,snd_des,seed,n_iters,applied_late_mean,applied_late_std,reward_late_mean,reward_late_std,snd_t_late_mean,metric_time_ms_median,iter_time_ms_median,tracking_err_abs,tracking_err_rel
bern,0.12,0,167,0.12021050614030841,0.0006472730727012989,0.3193449991941452,0.007408090548744646,8.406391754150391,2.460785051031659,,0.0005417416867550526,0.0045145140562921045
bern,0.12,1,167,0.1202023562291871,0.0007375040440059535,0.2986816644668579,0.01026423379517649,7.606402950286865,1.9725484812321763,,0.0005953474882706694,0.004961229068922246
bern,0.12,2,167,0.12055948714596669,0.0008183928412773631,0.26590999990701675,0.013570831138926634,6.956181182861328,1.966376262889416,,0.0007819118939787137,0.006515932449822614
bern,0.14,0,167,0.14034776481105432,0.0007396236504423661,0.34993666410446167,0.006946458728102728,8.268702135086059,1.95836042101426,,0.0006640302620789861,0.004743073300564186
bern,0.14,1,167,0.14048402269429058,0.0007211308659963738,0.34299000024795534,0.005982153373276598,9.195581350326538,2.047129557899165,,0.0007045667695493208,0.005032619782495148
bern,0.14,2,167,0.14023150914075833,0.000847787252309643,0.3223333323001862,0.0074641024286498225,6.19128849029541,2.0040277870268457,,0.0006509391875621013,0.00464956562544358
bern,0.15,0,167,0.15027362167147632,0.0008525236552560584,0.3522116649150848,0.004475562249977527,8.54707311630249,2.0805889477573887,,0.00064469351031954,0.0042979567354636
bern,0.15,1,167,0.1502395717113017,0.0007042341027035692,0.33981666445732117,0.0069028120274850086,7.773389806747437,2.0159672904776893,,0.0005815550519488994,0.0038770336796593295
bern,0.15,2,167,0.15027095992136144,0.0007833842421669522,0.35747499883174894,0.010677495339851007,8.39749135017395,2.0448423139492258,,0.0006663258113115545,0.004442172075410363
full,0.12,0,167,0.120351563805882,0.0004583229966700119,0.33946666538715364,0.008951034522253242,7.489843635559082,18.98046094273148,52590.93206602847,0.0004581447125205379,0.0038178726043378163
full,0.12,1,167,0.12006162908666226,0.0004121545994746716,0.31181500136852264,0.008725262611298478,6.8568637084960935,19.073846344448004,52222.17940900009,0.0003408686210710141,0.002840571842258451
full,0.12,2,167,0.12037235289890186,0.0005512093942814775,0.32394833087921143,0.007557673329613218,7.22385272026062,19.000345564887137,52569.53943404369,0.0005507825457036986,0.004589854547530822
full,0.14,0,167,0.1401285893523989,0.0004190327391837315,0.3404116666316986,0.006284889436131976,9.208002147674561,18.812704524801426,52079.84842598671,0.00035118985813862745,0.0025084989867044816
full,0.14,1,167,0.1402127559943361,0.0005771047664686879,0.31609500110149386,0.008288588289010242,8.165563745498657,19.027232995291275,52594.69971997896,0.0004952605142799982,0.003537575101999987
full,0.14,2,167,0.14015702970485922,0.0006017662192183051,0.3239099985361099,0.015503700804713617,6.716984901428223,18.773748594362083,52081.57989097526,0.00045289824291295524,0.0032349874493782516
full,0.15,0,167,0.15028165626257317,0.0005730207404806205,0.3500250005722046,0.006924628468885939,9.312976207733154,18.896775262395817,52531.17880993523,0.000524544693866339,0.0034969646257755936
full,0.15,1,167,0.15029218668391706,0.0005546825417086185,0.32481499910354616,0.0075352017717259774,9.048191452026368,18.922487664450372,52128.04792507086,0.0005025424254077943,0.003350282836051962
full,0.15,2,167,0.1503299670232091,0.0005758835939552592,0.3237566649913788,0.010850192828209194,7.6129687213897705,18.723369151336588,52404.95500608813,0.0005465504466354143,0.003643669644236096
