estimator,snd_des,n_seeds,applied_mean,applied_sem,reward_mean,reward_sem,tracking_err_rel,metric_time_ms,iter_time_ms
bern,0.12,3,0.12032411650515407,0.00011770883453141232,0.2946455545226733,0.015556803707863798,0.005330558525012322,1.9725484812321763,
bern,0.14,3,0.14035443221536772,7.297057486773023e-05,0.3384199988842011,0.008289544941727674,0.004808419569500971,2.0040277870268457,
bern,0.15,3,0.15026138443471315,1.0933395407144129e-05,0.34983444273471836,0.0052342647427279345,0.004205720830177764,2.0448423139492258,
full,0.12,3,0.12026184859714871,0.00010028947415975394,0.3250766658782959,0.008002259798590905,0.003749432998042363,19.000345564887137,52569.53943404369
full,0.14,3,0.14016612501719808,2.4718747498286203e-05,0.3268055554231008,0.007167362204030897,0.003093687179360907,18.812704524801426,52081.57989097526
full,0.15,3,0.1503012699898998,1.4666995079515276e-05,0.3328655548890432,0.008585160644745665,0.0034969723686878837,18.896775262395817,52404.95500608813
