iter,seed,n_agents,estimator,p,snd_t,snd_des,reward_mean,metric_time_ms
128,0,16,full,1.0,140.0567169189453,0.5,0.01030835323035717,4.729851188119302
129,0,16,full,1.0,140.8701629638672,0.5,0.01035301759839058,4.4278643443768875
130,0,16,full,1.0,142.1492156982422,0.5,0.010386334732174873,3.9254479944464125
131,0,16,full,1.0,142.09017944335938,0.5,0.01033508125692606,4.348120509521756
132,0,16,full,1.0,142.99497985839844,0.5,0.010311713442206383,3.592306701544398
133,0,16,full,1.0,143.89154052734375,0.5,0.01036368403583765,4.368419729421259
134,0,16,full,1.0,144.75018310546875,0.5,0.010346022434532642,4.458479669001318
135,0,16,full,1.0,145.22865295410156,0.5,0.010367555543780327,4.39148731827103
136,0,16,full,1.0,145.83851623535156,0.5,0.010356866754591465,3.556826384094223
137,0,16,full,1.0,146.9248046875,0.5,0.010374845936894417,4.354678528608698
138,0,16,full,1.0,147.19586181640625,0.5,0.01034429669380188,4.32184036112414
139,0,16,full,1.0,147.98353576660156,0.5,0.010375468991696835,4.307264573013988
140,0,16,full,1.0,148.6771240234375,0.5,0.010334323160350323,4.270800818284486
141,0,16,full,1.0,149.20254516601562,0.5,0.010385788977146149,3.953881207110946
142,0,16,full,1.0,149.75135803222656,0.5,0.010362203232944012,3.715732368979684
143,0,16,full,1.0,150.70834350585938,0.5,0.0104166055098176,3.653201500769466
144,0,16,full,1.0,151.07040405273438,0.5,0.01040028315037489,4.048929693627066
145,0,16,full,1.0,151.98458862304688,0.5,0.010431675240397453,3.64263509282099
146,0,16,full,1.0,152.2866668701172,0.5,0.01033414714038372,4.156111137322908
147,0,16,full,1.0,153.3984375,0.5,0.010414013639092445,4.443140443597965
148,0,16,full,1.0,154.1197052001953,0.5,0.010364345274865627,4.35562110960168
149,0,16,full,1.0,154.78802490234375,0.5,0.010464666411280632,3.854505036447552
150,0,16,full,1.0,155.1650390625,0.5,0.010411837138235569,4.1688864873307585
151,0,16,full,1.0,156.05381774902344,0.5,0.010377875529229641,4.200773005553827
152,0,16,full,1.0,156.7645263671875,0.5,0.010446760803461075,4.4229268348072
153,0,16,full,1.0,156.96400451660156,0.5,0.010405153967440128,3.8671441960509076
154,0,16,full,1.0,157.9317626953125,0.5,0.010385115630924702,3.523305894374235
155,0,16,full,1.0,158.37283325195312,0.5,0.010392381809651852,3.9127906341043794
156,0,16,full,1.0,158.86351013183594,0.5,0.010350657626986504,3.789877095230276
157,0,16,full,1.0,159.7762451171875,0.5,0.010437695309519768,3.5167397206249813
158,0,16,full,1.0,160.31597900390625,0.5,0.01039927825331688,4.288469199967776
159,0,16,full,1.0,160.68197631835938,0.5,0.010457718744874,4.252601710340103
160,0,16,full,1.0,161.54193115234375,0.5,0.010367212817072868,4.157290135712144
161,0,16,full,1.0,162.3522491455078,0.5,0.01037757657468319,4.521391488846608
162,0,16,full,1.0,163.03826904296875,0.5,0.010469013825058937,4.631388630909824
163,0,16,full,1.0,163.4882049560547,0.5,0.010484190657734871,4.5686852777858835
164,0,16,full,1.0,164.1094207763672,0.5,0.010365759953856468,4.215669767487155
165,0,16,full,1.0,164.32301330566406,0.5,0.010343381203711033,4.414960995202978
166,0,16,full,1.0,165.291259765625,0.5,0.010426225140690804,4.625888914276965
