estimator,snd_des,n_seeds,n_posthoc_median,applied_mean,applied_sem,applied_err_rel,posthoc_full_snd_mean,posthoc_full_snd_sem,posthoc_full_snd_err_rel,posthoc_minus_applied_mean,posthoc_minus_applied_sem,reward_mean,reward_sem,metric_time_ms,posthoc_full_snd_time_ms,iter_time_ms
bern,0.12,3,167.0,0.12031012634167117,5.774810358622041e-05,0.004652762733858597,0.12059749255577719,0.00012419062926559277,0.004979104631476688,0.0002873662141060218,6.694781356859011e-05,0.31575277864933016,0.00773246001817109,2.109963189232749,317.9095649975352,48287.7654840122
bern,0.14,3,167.0,0.14038127966571992,4.74266541529046e-05,0.004955314220998669,0.1408510541915893,0.00012781190954781648,0.0060789585113522025,0.0004697745258693912,8.555231501114661e-05,0.33515666604042055,0.005608707002541742,2.092784404737392,315.22256397875026,47873.772159044165
bern,0.15,3,167.0,0.15033442889317672,0.0001335807839463175,0.004405406182467858,0.15064209431409833,0.00020045207666152833,0.004280628760655541,0.00030766542092159715,0.00010160009010508679,0.3390249979496002,0.01076520323107568,2.1035335977406557,318.0784229771234,48293.964982032776
full,0.12,3,167.0,0.12027464999439136,5.6919473366872096e-05,0.0033522063841247493,0.1205776893595854,5.263489410326442e-05,0.004814077996545078,0.000303039365194042,4.762332551885325e-06,0.30597555458545683,0.003514479730346133,19.7679683773054,314.983218035195,52774.03112599859
full,0.14,3,167.0,0.14023665261408277,4.3653285981667055e-05,0.003525429277029852,0.1404977410038312,8.34991391698192e-05,0.003555292884508438,0.0002610883897484299,4.0525521473461264e-05,0.3288799997170766,0.011529612061327217,19.718091383455665,318.0841670255177,53155.07545403671
full,0.15,3,167.0,0.15021452654568893,0.0001234635431430078,0.0033573351647384828,0.15068401217460628,0.00017766977978737265,0.0045600811640419655,0.0004694856289173451,0.000137636354585305,0.3411927765607834,0.00041278775731267797,19.73332323832437,314.98931598616764,52733.206738950685
