n_agents,n_actions,alpha,p_edge,draws_total,draws_nonempty,mean_edges,snd_full,mean_hat,bias,std_hat,violation_rate,delta
10,5,1.0,0.1,2000,1980,4.585353535353535,0.44990026837201164,0.44975731596587765,-0.0001429524061339893,0.07737254017181695,0.0,0.1
10,5,1.0,0.3,2000,2000,13.4735,0.420053503362699,0.420801899188083,0.0007483958253839962,0.04225531391582527,0.0,0.1
10,5,1.0,0.5,2000,2000,22.32,0.48499804056645857,0.4843957145623988,-0.0006023260040597389,0.02451310296337705,0.0,0.1
