iter,elapsed_s,reward_per_step,episodes,policy_loss,value_loss,entropy,kl
396,50021.62,0.108657,0,0.135868,0.264406,1.131637,-0.038856
397,50147.89,0.102958,0,0.098221,0.228995,1.130339,-0.038598
398,50274.47,0.111461,0,0.067189,0.265650,1.128992,-0.039172
399,50401.10,0.113043,0,10.704821,0.232694,1.127801,-0.038760
400,50527.01,0.108760,0,0.074218,0.255378,1.126805,-0.038315
401,50655.24,0.107192,0,0.086146,0.230159,1.125645,-0.038362
402,50781.47,0.113866,0,0.079476,0.215299,1.124320,-0.037827
403,50907.76,0.101729,0,0.094165,0.221958,1.122939,-0.037881
404,51033.85,0.101802,0,0.113007,0.229509,1.121471,-0.036919
405,51160.17,0.094550,0,0.088829,0.237369,1.120001,-0.036296
406,51286.31,0.092589,0,0.080365,0.245352,1.118586,-0.037321
407,51412.60,0.095431,0,0.119540,0.281102,1.117200,-0.037252
408,51538.81,0.097803,0,0.097456,0.213386,1.115787,-0.036867
409,51665.02,0.098795,0,0.086904,0.239118,1.114297,-0.036224
410,51791.70,0.089309,0,0.139559,0.232293,1.112913,-0.036304
411,51918.54,0.101348,0,0.068782,0.239506,1.111667,-0.036741
412,52045.20,0.093385,0,0.068499,0.229748,1.110436,-0.036330
413,52171.77,0.094716,0,0.190533,0.233025,1.109208,-0.035850
414,52298.12,0.093906,0,0.085329,0.223604,1.108015,-0.035530
415,52424.40,0.097427,0,0.080337,0.208879,1.106701,-0.035214
416,52550.74,0.092818,0,0.119480,0.267286,1.105381,-0.035541
417,52677.70,0.109037,0,0.074317,0.217336,1.104161,-0.034928
418,52803.71,0.107755,0,0.062332,0.218161,1.102918,-0.034360
419,52930.20,0.112176,0,0.170663,0.211535,1.101689,-0.035129
420,53056.38,0.121263,0,0.064806,0.231868,1.100439,-0.034899
421,53182.56,0.125940,0,0.102003,0.266468,1.099201,-0.034907
422,53308.43,0.116010,0,0.060268,0.252828,1.097865,-0.033931
423,53434.55,0.117315,0,0.054779,0.223944,1.096638,-0.034296
424,53560.96,0.114319,0,0.073353,0.199876,1.095459,-0.034339
425,53687.22,0.126938,0,0.117611,0.225387,1.094209,-0.034136
426,53815.83,0.129766,0,0.069158,0.259601,1.093040,-0.033767
427,53942.07,0.128501,0,0.066318,0.190244,1.091866,-0.033151
428,54068.19,0.128462,0,0.069178,0.174893,1.090673,-0.033535
429,54194.21,0.133641,0,0.070409,0.249168,1.089430,-0.033512
430,54320.55,0.135747,0,0.069148,0.204279,1.088156,-0.032433
431,54446.68,0.122969,0,0.065416,0.217311,1.086892,-0.032720
432,54573.01,0.121780,0,0.072686,0.185567,1.085640,-0.033329
433,54699.05,0.121977,0,0.068665,0.166089,1.084321,-0.032729
434,54825.32,0.124766,0,0.067836,0.195365,1.083000,-0.032757
435,54951.46,0.121132,0,0.068626,0.215181,1.081717,-0.033095
436,55077.72,0.130807,0,0.067549,0.174623,1.080432,-0.032497
437,55203.89,0.137567,0,0.087633,0.228040,1.079176,-0.031936
438,55329.92,0.134512,0,0.067965,0.201312,1.077993,-0.031595
439,55456.02,0.133601,0,0.063529,0.185003,1.076797,-0.031284
440,55582.11,0.125754,0,0.120778,0.216991,1.075635,-0.031933
441,55708.28,0.151587,0,0.071044,0.229903,1.074457,-0.031411
442,55834.78,0.147865,0,0.066223,0.216056,1.073215,-0.031973
443,55961.12,0.152734,0,0.097577,0.215670,1.071952,-0.031135
444,56087.59,0.155689,0,0.065667,0.252279,1.070649,-0.031613
445,56213.99,0.146974,0,0.056340,0.185801,1.069386,-0.032000
446,56340.26,0.151323,0,0.068500,0.200342,1.068171,-0.031946
447,56466.57,0.160794,0,0.057444,0.203956,1.066984,-0.031113
448,56592.79,0.153950,0,0.072200,0.213393,1.065792,-0.030375
449,56719.00,0.159431,0,0.051566,0.218123,1.064551,-0.030400
450,56845.39,0.160896,0,0.100903,0.208240,1.063386,-0.030533
451,56973.46,0.156209,0,0.162201,0.218947,1.062184,-0.030333
452,57099.79,0.165074,0,0.058502,0.223731,1.061012,-0.030940
453,57226.22,0.161883,0,0.089054,0.207130,1.059790,-0.031166
454,57352.39,0.166041,0,0.061929,0.238124,1.058435,-0.030357
455,57478.51,0.156432,0,0.077307,0.185761,1.057155,-0.030152
456,57604.60,0.155234,0,0.054022,0.226972,1.055855,-0.030906
457,57731.04,0.161934,0,0.093283,0.212814,1.054634,-0.030735
458,57857.05,0.147810,0,0.067693,0.172061,1.053424,-0.030180
459,57983.28,0.152379,0,0.050707,0.175269,1.052216,-0.029805
460,58109.77,0.144748,0,0.050885,0.227857,1.051053,-0.029497
461,58235.80,0.150359,0,0.076395,0.190099,1.049849,-0.029610
462,58361.86,0.151629,0,0.059529,0.207870,1.048492,-0.029227
463,58488.15,0.152263,0,0.081315,0.175983,1.047154,-0.028681
464,58614.38,0.153584,0,0.061693,0.170487,1.045818,-0.029186
465,58740.67,0.147686,0,0.076985,0.195101,1.044490,-0.028676
466,58866.76,0.150626,0,0.073317,0.184049,1.043183,-0.029159
467,58993.32,0.160318,0,0.070898,0.263847,1.041924,-0.029064
468,59119.49,0.159440,0,0.078111,0.210216,1.040634,-0.029011
469,59245.96,0.161535,0,0.106107,0.183804,1.039260,-0.028620
470,59372.03,0.156541,0,0.054910,0.232383,1.037919,-0.028225
471,59498.92,0.147964,0,0.150234,0.201258,1.036723,-0.028161
472,59625.44,0.145351,0,0.098324,0.145702,1.035617,-0.028541
473,59751.99,0.150253,0,0.059245,0.191504,1.034493,-0.029137
474,59878.33,0.160166,0,0.048454,0.217549,1.033358,-0.027601
475,60004.71,0.155249,0,0.092898,0.211324,1.032294,-0.028123
476,60132.76,0.154958,0,0.058537,0.189952,1.031276,-0.028160
477,60258.81,0.166953,0,0.061537,0.204639,1.030202,-0.028268
478,60385.02,0.156334,0,0.049176,0.203028,1.029079,-0.027548
479,60511.38,0.158826,0,0.083356,0.182424,1.027930,-0.027715
480,60637.51,0.161176,0,0.071112,0.168096,1.026608,-0.027602
481,60763.63,0.164826,0,0.073462,0.191944,1.025205,-0.027583
482,60890.07,0.160256,0,0.057171,0.187594,1.023813,-0.027144
483,61016.71,0.165640,0,0.051415,0.221215,1.022541,-0.027162
484,61143.12,0.166489,0,0.062761,0.246131,1.021387,-0.027358
485,61269.37,0.159272,0,0.072644,0.206660,1.020165,-0.026980
486,61396.40,0.160892,0,0.046596,0.155274,1.018904,-0.027090
487,61522.86,0.164680,0,0.047958,0.179861,1.017755,-0.026858
488,61648.91,0.162865,0,0.066713,0.203001,1.016653,-0.027041
489,61774.99,0.157487,0,0.067755,0.176740,1.015478,-0.026496
490,61901.02,0.148147,0,0.079775,0.216527,1.014271,-0.025962
491,62027.16,0.161002,0,0.069357,0.240144,1.012953,-0.026730
492,62153.53,0.159105,0,2.867910,0.219212,1.011636,-0.026297
493,62279.69,0.150182,0,0.047507,0.201294,1.010588,-0.025738
494,62406.19,0.149705,0,0.079761,0.223063,1.009525,-0.026682
495,62532.62,0.157182,0,0.064628,0.224926,1.008317,-0.026262
496,62658.98,0.148637,0,0.053228,0.227140,1.007076,-0.026027
497,62785.17,0.156709,0,0.159614,0.212434,1.005883,-0.026109
498,62911.43,0.160737,0,0.051946,0.182402,1.004628,-0.025846
499,63037.83,0.154693,0,0.055376,0.228241,1.003432,-0.025918
500,63163.94,0.161081,0,0.072201,0.195571,1.002252,-0.025651
