iter,elapsed_s,reward_per_step,episodes,policy_loss,value_loss,entropy,kl
91,11489.79,0.120358,0,0.367366,0.280589,1.634900,-0.124139
92,11615.89,0.135498,0,0.266191,0.348436,1.633081,-0.124208
93,11742.54,0.119414,0,0.272339,0.305672,1.631090,-0.123622
94,11868.59,0.116869,0,0.343249,0.328052,1.629014,-0.125015
95,11994.85,0.135361,0,0.285360,0.337892,1.626721,-0.123209
96,12121.13,0.126183,0,0.434653,0.321947,1.624421,-0.122006
97,12247.47,0.131619,0,0.350600,0.308317,1.622417,-0.120459
98,12373.92,0.118581,0,0.273214,0.254764,1.620452,-0.121222
99,12499.85,0.122370,0,0.844298,0.351571,1.618437,-0.120324
100,12626.07,0.120352,0,0.257996,0.317191,1.616788,-0.120896
101,12754.04,0.105051,0,0.487427,0.337284,1.614853,-0.119495
102,12880.51,0.114120,0,0.291251,0.255824,1.612989,-0.119254
103,13006.94,0.120589,0,0.371113,0.268142,1.611062,-0.120445
104,13133.01,0.109809,0,0.326052,0.335550,1.609084,-0.118641
105,13259.40,0.114050,0,0.369924,0.363280,1.607017,-0.118006
106,13385.76,0.108655,0,0.349019,0.295641,1.605165,-0.118535
107,13512.29,0.091233,0,0.284888,0.334045,1.603258,-0.116723
108,13638.48,0.095525,0,0.322691,0.280681,1.601280,-0.117577
109,13765.02,0.093280,0,0.469869,0.336740,1.599436,-0.115206
110,13891.14,0.098695,0,0.269060,0.239187,1.597656,-0.115998
111,14017.29,0.092245,0,2.890839,0.320069,1.595711,-0.114939
112,14143.52,0.103895,0,0.572515,0.245280,1.594174,-0.114691
113,14269.64,0.100213,0,0.308124,0.283509,1.592777,-0.113930
114,14396.46,0.100616,0,0.971338,0.279335,1.591029,-0.113943
115,14522.56,0.106264,0,0.249635,0.284095,1.589380,-0.113043
116,14648.64,0.106550,0,0.251786,0.263494,1.587458,-0.113240
117,14774.78,0.114722,0,0.356485,0.287772,1.585428,-0.113467
118,14901.03,0.108778,0,0.318542,0.329321,1.583617,-0.114242
119,15027.15,0.101567,0,0.399733,0.319183,1.581794,-0.110388
120,15153.22,0.106579,0,0.350603,0.267577,1.580138,-0.111874
121,15279.87,0.119857,0,0.302540,0.264357,1.578442,-0.110424
122,15406.07,0.115907,0,0.340081,0.300728,1.576486,-0.111625
123,15532.93,0.113044,0,0.287510,0.280491,1.574244,-0.111454
124,15658.91,0.109569,0,0.299110,0.280890,1.572100,-0.109403
125,15784.98,0.116785,0,0.231759,0.280022,1.570134,-0.109800
126,15912.51,0.125509,0,0.282179,0.307282,1.568084,-0.108937
127,16038.84,0.119206,0,0.296578,0.288217,1.566090,-0.108733
128,16164.68,0.120215,0,0.274887,0.320967,1.564029,-0.108286
129,16290.65,0.125456,0,0.354950,0.292427,1.561821,-0.107826
130,16416.87,0.113714,0,0.257210,0.286377,1.559671,-0.106254
131,16542.66,0.116714,0,0.260736,0.247225,1.557514,-0.105740
132,16668.78,0.122939,0,0.356587,0.328971,1.555539,-0.106701
133,16795.03,0.116505,0,0.572714,0.293005,1.553609,-0.106055
134,16921.02,0.111229,0,0.316347,0.268823,1.551864,-0.104562
135,17047.31,0.094683,0,0.228844,0.277266,1.550223,-0.104423
136,17173.34,0.100751,0,0.327962,0.261197,1.548334,-0.105416
137,17299.71,0.089431,0,0.285063,0.312401,1.546443,-0.104520
138,17426.10,0.098688,0,0.286483,0.288570,1.544449,-0.104539
139,17553.08,0.098771,0,0.550846,0.296909,1.542351,-0.103617
140,17679.38,0.102028,0,0.317651,0.284553,1.540590,-0.102198
141,17806.03,0.110372,0,0.290027,0.266270,1.538905,-0.103436
142,17932.22,0.097040,0,0.299405,0.287554,1.537254,-0.102125
143,18058.48,0.107606,0,0.390670,0.312318,1.535802,-0.102007
144,18184.75,0.101022,0,0.218358,0.269708,1.534334,-0.102845
145,18310.93,0.106890,0,0.240697,0.235843,1.532532,-0.100994
146,18437.29,0.102097,0,0.253343,0.308058,1.530517,-0.101121
147,18563.81,0.094380,0,0.199506,0.243479,1.528516,-0.100529
148,18690.91,0.087455,0,0.274912,0.252058,1.526455,-0.101443
149,18817.35,0.106658,0,3.266693,0.325412,1.524429,-0.099973
150,18943.58,0.103346,0,0.368061,0.268855,1.522714,-0.100515
151,19071.84,0.105327,0,0.245041,0.285144,1.521042,-0.098471
152,19198.82,0.106048,0,0.288450,0.277237,1.519176,-0.098717
153,19325.33,0.107310,0,0.281093,0.296983,1.517339,-0.098630
154,19451.39,0.108512,0,0.446387,0.303588,1.515635,-0.098654
155,19577.67,0.112166,0,0.214734,0.270844,1.513932,-0.098294
156,19704.02,0.115812,0,0.244088,0.324588,1.511879,-0.097336
157,19830.39,0.125728,0,0.239598,0.290038,1.509661,-0.098952
158,19956.51,0.125754,0,0.346474,0.306811,1.507457,-0.096564
159,20082.83,0.121023,0,0.211845,0.283528,1.505575,-0.096532
160,20208.88,0.119370,0,0.234750,0.315938,1.503519,-0.096084
161,20334.97,0.108575,0,0.486497,0.341082,1.501346,-0.095797
162,20461.26,0.116398,0,0.284449,0.342143,1.499512,-0.095475
163,20587.48,0.111000,0,0.277178,0.283027,1.497650,-0.095773
164,20713.78,0.102232,0,0.264227,0.267510,1.495903,-0.094961
165,20840.51,0.113858,0,0.309750,0.326741,1.494096,-0.093779
166,20966.53,0.121361,0,0.266517,0.288381,1.492365,-0.093417
167,21092.82,0.098527,0,0.308821,0.291053,1.490528,-0.094561
168,21218.85,0.107030,0,0.368070,0.390835,1.488798,-0.093174
169,21344.98,0.104638,0,0.325617,0.256080,1.487335,-0.093884
170,21470.98,0.109750,0,0.222892,0.325309,1.485855,-0.094005
171,21597.08,0.122129,0,0.231122,0.339877,1.483961,-0.094804
172,21723.43,0.121604,0,0.233761,0.285130,1.481865,-0.093476
173,21849.88,0.126204,0,0.213628,0.328376,1.479843,-0.093196
174,21976.24,0.113348,0,0.217329,0.332507,1.477707,-0.091414
175,22102.40,0.127495,0,0.228573,0.397043,1.475634,-0.092066
176,22229.88,0.127320,0,0.265850,0.353895,1.473745,-0.090816
177,22355.97,0.134301,0,0.404788,0.357415,1.472036,-0.089995
178,22482.10,0.128297,0,0.203210,0.304616,1.470377,-0.089077
179,22608.00,0.128492,0,1.138840,0.271132,1.468584,-0.089139
180,22733.91,0.120882,0,0.231808,0.340309,1.467094,-0.089281
181,22859.98,0.115907,0,0.201599,0.279827,1.465426,-0.088492
182,22986.37,0.119141,0,0.196536,0.273615,1.463510,-0.088469
183,23112.67,0.102352,0,0.239492,0.294644,1.461471,-0.087543
