n,d,graph_family,graph_seed,num_edges,n_pairs,edge_fraction,SND,SND_G_u,ratio,ratio_reciprocal,abs_distortion,lower_bound,pi_G,upper_bound,lambda_2,spectral_gap,d_max,is_ramanujan,ramanujan_bound,time_full_ms,time_graph_ms,data_source,D_nuclear_norm,D_op_norm,D_fro_norm,D_max_entry,D_nuclear_over_n_snd,D_nuclear_over_n_dmax,D_stable_rank,diagnostic_SND_recomputed,spectral_rel_bound,spectral_abs_bound
50,6,random_regular,958,150,1225,0.1224489795918367,0.0046265386044979,0.0046216049231588,1.001067525550335,0.9989336128451994,4.9336813390254974e-06,0.1224489795918367,60.05344932844933,7.353483591238693,4.031351792293987,0.3281080346176689,6,True,4.47213595499958,149.70826840144582,18.27808929956518,synthetic,0.4545067778809104,0.22725338894045524,0.22958406569263803,0.005204753950238228,1.9636776412600445,1.7465062987659852,1.0206168831991127,0.004629138391464949,1.3594542836668178,0.006289567724434572
50,6,random_regular,10958,150,1225,0.1224489795918367,0.0046265386044979,0.0046291877515614,0.9994277296135592,1.0005725980673583,2.6491470634937286e-06,0.1224489795918367,56.166666666666664,6.877551020408164,3.8829070675165425,0.3528488220805762,6,True,4.47213595499958,149.7049453901127,18.38232620502822,synthetic,0.4545067778809104,0.22725338894045524,0.22958406569263803,0.005204753950238228,1.9636776412600445,1.7465062987659852,1.0206168831991127,0.004629138391464949,1.3108713524987397,0.006064796917865794
50,6,random_regular,20958,150,1225,0.1224489795918367,0.0046265386044979,0.0046258941292762,1.0001393190599748,0.9998607003471218,6.444752216339111e-07,0.1224489795918367,54.05222262818171,6.618639505491638,4.080616076505592,0.3198973205824013,6,True,4.47213595499958,149.8657736054156,18.761385296238583,synthetic,0.4545067778809104,0.22725338894045524,0.22958406569263803,0.005204753950238228,1.9636776412600445,1.7465062987659852,1.0206168831991127,0.004629138391464949,1.3755774792366526,0.006364162311166282
50,6,random_regular,30958,150,1225,0.1224489795918367,0.0046265386044979,0.0046206940896809,1.0012648564703843,0.998736741370467,5.8445148169994354e-06,0.1224489795918367,66.42901314371902,8.134164874741105,4.123187097492918,0.312802150417847,6,True,4.47213595499958,149.37291960814036,18.363336694892496,synthetic,0.4545067778809104,0.22725338894045524,0.22958406569263803,0.005204753950238228,1.9636776412600445,1.7465062987659852,1.0206168831991127,0.004629138391464949,1.3895101062497233,0.0064286221479043235
50,6,random_regular,40958,150,1225,0.1224489795918367,0.0046265386044979,0.0046291146427392,0.9994435138379156,1.0005567960113595,2.5760382413864136e-06,0.1224489795918367,52.272893772893774,6.400762502803319,3.718044199641953,0.3803259667263411,6,True,4.47213595499958,149.02475269627757,18.218267988413572,synthetic,0.4545067778809104,0.22725338894045524,0.22958406569263803,0.005204753950238228,1.9636776412600445,1.7465062987659852,1.0206168831991127,0.004629138391464949,1.256915097912183,0.005815166223066973
50,6,bernoulli,773,161,1225,0.1314285714285714,0.0046265386044979,0.0046217152848839,1.001043621105287,0.9989574669042544,4.823319613933563e-06,0.1314285714285714,67.642562992563,8.89016542187971,4.153912227183108,0.6223716157106265,11,True,6.324555320336759,148.00939841661602,19.674277922604233,synthetic,0.4545067778809104,0.22725338894045524,0.22958406569263803,0.005204753950238228,1.9636776412600445,1.7465062987659852,1.0206168831991127,0.004629138391464949,,
50,6,bernoulli,10773,143,1225,0.116734693877551,0.0046265386044979,0.0045616920106112,1.0142154695529135,0.985983777629442,6.484659388661385e-05,0.116734693877551,101.54999999999998,11.854408163265305,4.00615530968189,0.6918342069475469,13,True,6.928203230275509,148.2465034991037,17.382678110152483,synthetic,0.4545067778809104,0.22725338894045524,0.22958406569263803,0.005204753950238228,1.9636776412600445,1.7465062987659852,1.0206168831991127,0.004629138391464949,,
50,6,bernoulli,20773,139,1225,0.113469387755102,0.0046265386044979,0.004630509763956,0.9991423925959356,1.0008583435258271,3.9711594581604e-06,0.113469387755102,84.85622710622711,9.628584136951485,4.219796773487136,0.5780203226512863,10,True,6.0,147.7125302015338,16.80819210014306,synthetic,0.4545067778809104,0.22725338894045524,0.22958406569263803,0.005204753950238228,1.9636776412600445,1.7465062987659852,1.0206168831991127,0.004629138391464949,,
50,6,bernoulli,30773,153,1225,0.1248979591836734,0.0046265386044979,0.0046784495934844,0.9889042324921512,1.0112202649592126,5.191098898649216e-05,0.1248979591836734,65.44323454323454,8.173726436828476,3.8945354944101767,0.7004203465838326,13,True,6.928203230275509,147.82160311588086,18.47737390198745,synthetic,0.4545067778809104,0.22725338894045524,0.22958406569263803,0.005204753950238228,1.9636776412600445,1.7465062987659852,1.0206168831991127,0.004629138391464949,,
50,6,bernoulli,40773,153,1225,0.1248979591836734,0.0046265386044979,0.0046311984769999,0.998993808508698,1.001007204932335,4.659872502088547e-06,0.1248979591836734,98.0,12.24,4.382370965907607,0.6348024195076993,12,True,6.6332495807108,147.86891720141284,18.57853718684055,synthetic,0.4545067778809104,0.22725338894045524,0.22958406569263803,0.005204753950238228,1.9636776412600445,1.7465062987659852,1.0206168831991127,0.004629138391464949,,
