n,d,graph_family,graph_seed,num_edges,n_pairs,edge_fraction,SND,SND_G_u,ratio,ratio_reciprocal,abs_distortion,lower_bound,pi_G,upper_bound,lambda_2,spectral_gap,d_max,is_ramanujan,ramanujan_bound,time_full_ms,time_graph_ms,data_source
50,6,random_regular,1468,150,1225,0.12244897959183673,0.004629138391464949,0.0046248664148151875,1.0009236973063862,0.9990771551229408,4.2719766497612e-06,0.12244897959183673,58.35289449112981,7.145252386668957,4.089489906260836,0.31841834895652743,6,True,4.47213595499958,138.73683300000005,16.94491600000014,synthetic
50,6,random_regular,11468,150,1225,0.12244897959183673,0.004629138391464949,0.00462647108361125,1.0005765318329012,0.9994238003645308,2.6673078536987305e-06,0.12244897959183673,60.917460317460325,7.459280855199224,3.8740648555773913,0.35432252407043474,6,True,4.47213595499958,138.8720000000001,16.723416000000046,synthetic
50,6,bernoulli,1187,136,1225,0.1110204081632653,0.004629138391464949,0.004614856094121933,1.0030948521582737,0.996914696400231,1.428229734301567e-05,0.1110204081632653,104.08650793650793,11.555726595400065,4.138092419215182,0.6551589650654015,12,True,6.6332495807108,138.56187500000016,15.632792000000117,synthetic
50,6,bernoulli,11187,160,1225,0.1306122448979592,0.004629138391464949,0.004612141288816929,1.0036852953072433,0.9963282362265603,1.699710264801979e-05,0.1306122448979592,61.4058126084442,8.020351034572304,4.232431693199481,0.6472973589000433,12,True,6.6332495807108,138.35174999999998,19.254040999999944,synthetic
50,6,uniform,1253,150,1225,0.12244897959183673,0.004629138391464949,0.004633392672985792,0.9990818215029243,1.0009190223236115,4.254281520843506e-06,0.12244897959183673,86.09444444444446,10.542176870748301,3.8203542353435296,0.6179645764656471,10,True,6.0,140.53175000000007,16.844625000000057,synthetic
50,6,uniform,11253,150,1225,0.12244897959183673,0.004629138391464949,0.004645725712180138,0.9964295522932617,1.0035832414830743,1.658732071518898e-05,0.12244897959183673,99.70238095238095,12.208454810495628,4.115897327045066,0.6570085560795778,12,True,6.6332495807108,137.7855829999999,17.38666600000016,synthetic
50,6,knn,1589,187,1225,0.1526530612244898,0.004629138391464949,0.004592018201947212,1.008083632922447,0.9919811882085493,3.7120189517736435e-05,0.1526530612244898,408.7084321409756,62.39059331458158,7.3787655189021075,0.3851028734248244,12,False,6.6332495807108,138.63304199999993,21.692749999999705,synthetic
50,6,knn,11589,187,1225,0.1526530612244898,0.004629138391464949,0.004592018201947212,1.008083632922447,0.9919811882085493,3.7120189517736435e-05,0.1526530612244898,408.7084321409756,62.39059331458158,7.3787655189021075,0.3851028734248244,12,False,6.6332495807108,139.66241700000026,21.508416000000086,synthetic
50,12,random_regular,2068,300,1225,0.24489795918367346,0.004629138391464949,0.004630293231457472,0.9997505903114996,1.0002494719092114,1.1548399925231934e-06,0.24489795918367346,21.574228675136116,5.283484573502722,5.142433849861682,0.5714638458448598,12,True,6.6332495807108,140.71587500000015,33.99000000000019,synthetic
50,12,random_regular,12068,300,1225,0.24489795918367346,0.004629138391464949,0.00463300384581089,0.9991656699466294,1.0008350267412762,3.865454345941544e-06,0.24489795918367346,24.210728250244383,5.929157938835359,5.771038523376781,0.5190801230519348,12,True,6.6332495807108,139.2006669999999,34.35508300000034,synthetic
