n,d,graph_family,graph_seed,num_edges,n_pairs,edge_fraction,SND,SND_G_u,ratio,ratio_reciprocal,abs_distortion,lower_bound,pi_G,upper_bound,lambda_2,spectral_gap,d_max,is_ramanujan,ramanujan_bound,time_full_ms,time_graph_ms,data_source
100,7,random_regular,790,350,4950,0.0707070707070707,0.0046733589842915535,0.004675400909036398,0.9995632621063794,1.0004369287169481,2.0419247448444366e-06,0.0707070707070707,97.59937541818348,6.900965938659438,4.489157008868701,0.3586918558758999,7,True,4.898979485566356,614.5850261906162,43.54545489186421,synthetic
100,7,random_regular,10790,350,4950,0.0707070707070707,0.0046733589842915535,0.004676283802837133,0.9993745421217153,1.000625849320673,2.9248185455799103e-06,0.0707070707070707,109.68012804189277,7.755160568618681,4.615717093077009,0.3406118438461415,7,True,4.898979485566356,614.7909430146683,43.513430503662676,synthetic
100,7,random_regular,20790,350,4950,0.0707070707070707,0.0046733589842915535,0.004671454895287752,1.0004076008537988,0.9995925652169667,1.9040890038013458e-06,0.0707070707070707,103.74144022136014,7.33525334898506,4.44170139967171,0.36547122861832715,7,True,4.898979485566356,615.6527634942904,43.51153090246953,synthetic
100,7,random_regular,30790,350,4950,0.0707070707070707,0.0046733589842915535,0.00467528123408556,0.9995888483071367,1.0004113208081098,1.9222497940063477e-06,0.0707070707070707,107.81199441813922,7.623070312393682,4.640361249412654,0.3370912500839066,7,True,4.898979485566356,615.5950619082432,43.64712919923477,synthetic
100,7,random_regular,40790,350,4950,0.0707070707070707,0.0046733589842915535,0.004673273768275976,1.00001823475786,0.9999817655746405,8.521601557731628e-08,0.0707070707070707,95.72733197875547,6.768599230821094,4.469136023428145,0.3615519966531221,7,True,4.898979485566356,617.2613522037864,43.68022379348986,synthetic
100,7,bernoulli,1588,359,4950,0.07252525252525252,0.0046733589842915535,0.004689882509410381,0.9964767720543802,1.003535684969712,1.652352511882782e-05,0.07252525252525252,198.0,14.36,4.893141885506739,0.6504898653209472,14,True,7.211102550927978,616.4677243097685,44.68781140749343,synthetic
100,7,bernoulli,11588,357,4950,0.07212121212121213,0.0046733589842915535,0.004680170211941004,0.9985446624073475,1.0014574586870695,6.811227649450302e-06,0.07212121212121213,139.1429061031847,10.035155046229685,5.083648521864488,0.6089501137027318,13,True,6.928203230275509,614.4509218109306,44.29597220150754,synthetic
100,7,bernoulli,21588,353,4950,0.07131313131313131,0.0046733589842915535,0.004664389882236719,1.0019228885837763,0.9980808018204932,8.969102054834366e-06,0.07131313131313131,198.0,14.12,4.897019499329393,0.6233061923592774,13,True,6.928203230275509,614.6428164851386,43.79332200624049,synthetic
100,7,bernoulli,31588,371,4950,0.07494949494949495,0.0046733589842915535,0.004682521801441908,0.9980431875090185,1.0019606491136575,9.162817150354385e-06,0.07494949494949495,198.0,14.84,5.026472273391527,0.6858454829130296,16,True,7.745966692414834,615.2119215053972,46.092601091368124,synthetic
100,7,bernoulli,41588,354,4950,0.07151515151515152,0.0046733589842915535,0.004695036914199591,0.9953827988354096,1.0046386185997915,2.1677929908037186e-05,0.07151515151515152,126.21377382507413,9.026197158399242,4.959496280136408,0.6457502657045423,14,True,7.211102550927978,615.9679998119827,43.99248379631899,synthetic
100,7,uniform,1709,350,4950,0.0707070707070707,0.0046733589842915535,0.00469534657895565,0.9953171519302443,1.0047048803094312,2.1987594664096832e-05,0.0707070707070707,140.8104365504823,9.956293493468445,4.904138942193767,0.6227585429081718,13,True,6.928203230275509,616.5594402060378,43.596403510309756,synthetic
100,7,uniform,11709,350,4950,0.0707070707070707,0.0046733589842915535,0.0046935128048062325,0.9957060263063433,1.0043124914183612,2.0153820514678955e-05,0.0707070707070707,198.0,14.0,5.071016440547087,0.6099218122656087,13,True,6.928203230275509,616.103954706341,43.540990591282025,synthetic
100,7,uniform,21709,350,4950,0.0707070707070707,0.0046733589842915535,0.004659221973270178,1.0030341999377748,0.9969749785820233,1.4137011021375656e-05,0.0707070707070707,143.16451193290854,10.122743267983433,5.125876116137412,0.6796327427414117,16,True,7.745966692414834,615.8712505886797,43.64262570743449,synthetic
100,7,uniform,31709,350,4950,0.0707070707070707,0.0046733589842915535,0.004660764243453741,1.0027022909076557,0.99730499178853,1.2594740837812424e-05,0.0707070707070707,168.82642357642354,11.937221869040048,5.129188784858142,0.6580540810094572,15,True,7.483314773547883,615.9850422933232,43.64815320586786,synthetic
100,7,uniform,41709,350,4950,0.0707070707070707,0.0046733589842915535,0.004659133031964302,1.0030533475283177,0.9969559470233148,1.4225952327251434e-05,0.0707070707070707,198.0,14.0,5.101300477750144,0.6075922709422966,13,True,6.928203230275509,616.3857737090439,43.62784719560295,synthetic
100,7,knn,1510,452,4950,0.09131313131313132,0.0046733589842915535,0.004677692428231239,0.9990735936562369,1.0009272653682826,4.3334439396858215e-06,0.09131313131313132,854.9862736892079,78.07147388030747,9.072290201122748,0.35197927134837514,14,False,7.211102550927978,615.6254760862794,56.16386489709839,synthetic
100,7,knn,11510,452,4950,0.09131313131313132,0.0046733589842915535,0.004677692428231239,0.9990735936562369,1.0009272653682826,4.3334439396858215e-06,0.09131313131313132,854.9862736892079,78.07147388030747,9.072290201122748,0.35197927134837514,14,False,7.211102550927978,617.5056700070854,56.33896381477825,synthetic
100,7,knn,21510,452,4950,0.09131313131313132,0.0046733589842915535,0.004677692428231239,0.9990735936562369,1.0009272653682826,4.3334439396858215e-06,0.09131313131313132,854.9862736892079,78.07147388030747,9.072290201122748,0.35197927134837514,14,False,7.211102550927978,615.9999955096282,56.28862109151669,synthetic
100,7,knn,31510,452,4950,0.09131313131313132,0.0046733589842915535,0.004677692428231239,0.9990735936562369,1.0009272653682826,4.3334439396858215e-06,0.09131313131313132,854.9862736892079,78.07147388030747,9.072290201122748,0.35197927134837514,14,False,7.211102550927978,617.0742642949335,56.26043861848302,synthetic
100,7,knn,41510,452,4950,0.09131313131313132,0.0046733589842915535,0.004677692428231239,0.9990735936562369,1.0009272653682826,4.3334439396858215e-06,0.09131313131313132,854.9862736892079,78.07147388030747,9.072290201122748,0.35197927134837514,14,False,7.211102550927978,617.1200444921851,56.23581968829967,synthetic
100,14,random_regular,1490,700,4950,0.1414141414141414,0.0046733589842915535,0.0046737720258533955,0.99991162565064,1.000088382160076,4.130415618419647e-07,0.1414141414141414,42.13055641962325,5.957856463381065,6.423905745464868,0.5411495896096523,14,True,7.211102550927978,613.7013503001072,86.97839898522943,synthetic
100,14,random_regular,11490,700,4950,0.1414141414141414,0.0046733589842915535,0.0046739582903683186,0.9998717776155598,1.0001282388275285,5.993060767650604e-07,0.1414141414141414,40.38102110014029,5.710447428302667,6.2391815468700145,0.5543441752235704,14,True,7.211102550927978,613.4287970024161,86.94374979822896,synthetic
100,14,random_regular,21490,700,4950,0.1414141414141414,0.0046733589842915535,0.004670945927500725,1.0005166098748053,0.9994836568731528,2.413056790828705e-06,0.1414141414141414,42.285172868938886,5.979721415809539,6.19699792345911,0.5573572911814921,14,True,7.211102550927978,614.6402761049103,87.08940070937388,synthetic
100,14,random_regular,31490,700,4950,0.1414141414141414,0.0046733589842915535,0.004672953858971596,1.0000866957672137,0.9999133117482908,4.0512531995773315e-07,0.1414141414141414,39.23762004996848,5.548754350500593,6.324526030600488,0.5482481406713937,14,True,7.211102550927978,613.9176525000948,87.06038349773735,synthetic
100,14,random_regular,41490,700,4950,0.1414141414141414,0.0046733589842915535,0.004671996459364891,1.0002916365494952,0.9997084484775849,1.362524926662445e-06,0.1414141414141414,40.125675330353154,5.674337925504486,6.530510756623747,0.5335349459554466,14,True,7.211102550927978,613.8753216946498,87.07578029716387,synthetic
100,14,bernoulli,2288,652,4950,0.1317171717171717,0.0046733589842915535,0.004677068907767534,0.9992067845162984,1.0007938451739853,3.7099234759807587e-06,0.1317171717171717,51.055983742639704,6.724949777818401,6.377198042821582,0.7101273616899282,22,True,9.16515138991168,614.2203996132594,81.19830230716616,synthetic
100,14,bernoulli,12288,691,4950,0.1395959595959596,0.0046733589842915535,0.0046767061576247215,0.9992842882960028,1.0007162243141217,3.3471733331680298e-06,0.1395959595959596,53.87453705818535,7.52066769842547,6.579564316776193,0.7139319862271221,23,True,9.38083151964686,614.3946556840092,85.99281430360861,synthetic
100,14,bernoulli,22288,690,4950,0.1393939393939394,0.0046733589842915535,0.0046727657318115234,1.0001269596025308,0.9998730565141638,5.932524800300598e-07,0.1393939393939394,48.68660590760744,6.786617793181644,6.493767143933792,0.6907729931460099,21,True,8.94427190999916,614.1732426942326,85.97620841464959,synthetic
100,14,bernoulli,32288,772,4950,0.15595959595959596,0.0046733589842915535,0.004667944740504026,1.001159877438254,0.9988414663188242,5.414243787527084e-06,0.15595959595959596,49.702699362664006,7.751612910702345,6.862484955442652,0.7360582709445134,26,True,10.0,613.9221661898773,96.03708089562133,synthetic
