iter,seed,n_agents,estimator,p,snd_t,snd_des,reward_mean,metric_time_ms,scaling_ratio_mean,applied_snd,out_loc_norm_mean,iter_time_ms
27,0,50,full,1.0,1.697440266609192,0.15000000596046448,0.2614166736602783,18.923341802804284,0.08960115073455704,0.1520926011913569,5.618251434995696e-08,52509.233044984285
28,0,50,full,1.0,1.8230807781219482,0.15000000596046448,0.2564166784286499,18.66499642168896,0.08492961570068643,0.15483354987720543,1.6971177540003158e-08,52444.268260966055
29,0,50,full,1.0,1.8579639196395874,0.15000000596046448,0.26341667771339417,18.764591616949204,0.08168071762279228,0.15175982627341747,1.6046372595663185e-08,52621.091728971805
30,0,50,full,1.0,1.9549349546432495,0.15000000596046448,0.25833332538604736,18.64894653360049,0.07862566107953037,0.1537080531763072,7.97885880202954e-08,52449.744805984665
31,0,50,full,1.0,2.019465684890747,0.15000000596046448,0.2669166624546051,19.522169569110567,0.07555838895064813,0.1525875736914621,2.970368081130677e-08,52665.89439101517
32,0,50,full,1.0,2.0930233001708984,0.15000000596046448,0.2761666774749756,18.894773205802604,0.07297150015279098,0.1527310500682158,2.6447583072636386e-08,52499.15977899218
33,0,50,full,1.0,2.148742914199829,0.15000000596046448,0.2615000009536743,18.591434855221046,0.07080363509831605,0.15213880921709694,1.3935397185782105e-08,52410.40615196107
34,0,50,full,1.0,2.269291400909424,0.15000000596046448,0.2709166705608368,18.729836051352322,0.06782754256769463,0.15392045909368732,5.795063281096209e-09,52606.709913001396
35,0,50,full,1.0,2.3559932708740234,0.15000000596046448,0.2691666781902313,19.23926621222765,0.06481763946789282,0.152709922420294,3.837955555644264e-08,52599.27595104091
36,0,50,full,1.0,2.4195024967193604,0.15000000596046448,0.2852500081062317,19.174435203118872,0.06288175574607319,0.15214256502572107,1.751530020811218e-08,52574.32521303417
37,0,50,full,1.0,2.492321252822876,0.15000000596046448,0.2606666684150696,18.6408901891102,0.06110774515955537,0.15230013197324407,1.8330192743058698e-07,52427.633156999946
38,0,50,full,1.0,2.5308187007904053,0.15000000596046448,0.28566667437553406,18.660031117421266,0.0598080704609553,0.1513633831807759,7.646003935428157e-08,52437.7652159892
39,0,50,full,1.0,2.639666795730591,0.15000000596046448,0.28575000166893005,19.5030906114779,0.05800371906823582,0.15311049125330742,3.715343750319497e-08,52665.419404977
40,0,50,full,1.0,2.7407021522521973,0.15000000596046448,0.2672500014305115,18.965062211888533,0.05575923289137858,0.1528194495933328,4.438551682681661e-08,52538.18863001652
41,0,50,full,1.0,2.8357303142547607,0.15000000596046448,0.27908334136009216,19.48035989038612,0.053798769083287984,0.15255880035907154,5.603715993367077e-08,52652.317209984176
42,0,50,full,1.0,2.924630641937256,0.15000000596046448,0.2771666646003723,18.607410440799192,0.05211155787110329,0.15240705894891526,1.0768555007289604e-07,52413.3614700404
43,0,50,full,1.0,3.0543246269226074,0.15000000596046448,0.2737500071525574,18.549907866529086,0.05018208776083258,0.15327238647830252,1.636464146682327e-08,52389.11936304066
44,0,50,full,1.0,3.1342933177948,0.15000000596046448,0.2724166512489319,18.721382557500707,0.04849288147632722,0.15199091437186765,8.4400173936467e-08,52601.87055298593
45,0,50,full,1.0,3.3329684734344482,0.15000000596046448,0.273499995470047,19.2159155357836,0.046304688299143755,0.15433206627325513,8.906222761280499e-08,52610.62505003065
46,0,50,full,1.0,3.3421783447265625,0.15000000596046448,0.28083333373069763,19.50777982171901,0.04507828392088413,0.15065966433781453,1.3833996143090985e-07,52670.79648701474
47,0,50,full,1.0,3.464830160140991,0.15000000596046448,0.27941668033599854,19.20941452801883,0.04406398267105774,0.15267421613461085,6.2296431114176e-08,52584.40627501113
48,0,50,full,1.0,3.4782824516296387,0.15000000596046448,0.2955833375453949,18.94323214483275,0.043317811342853084,0.1506715830368492,2.306184713813448e-08,52519.089490000624
49,0,50,full,1.0,3.6252589225769043,0.15000000596046448,0.2736666798591614,18.600471587032423,0.04217761648749864,0.1529047805043312,1.7661105844198787e-07,52412.31206501834
50,0,50,full,1.0,3.768068552017212,0.15000000596046448,0.27541667222976685,18.588114738748928,0.04053309125204881,0.1527314664628891,5.61577223488917e-09,52405.07245500339
51,0,50,full,1.0,3.699326992034912,0.15000000596046448,0.281166672706604,19.50736246352015,0.040341018664616125,0.1492346192321986,7.87656282952401e-08,52661.76646098029
52,0,50,full,1.0,3.9175143241882324,0.15000000596046448,0.2931666672229767,18.901716809961254,0.039279481782405465,0.15387793252926413,4.810271988128675e-08,52497.83212901093
53,0,50,full,1.0,4.076356887817383,0.15000000596046448,0.29616665840148926,18.583760592068924,0.03748942617740896,0.1528202806186023,4.353791491886585e-09,52399.77581700077
54,0,50,full,1.0,4.156919002532959,0.15000000596046448,0.28683334589004517,18.727064112641123,0.03648009686558335,0.15164480787478646,2.021737019452611e-08,52604.53947301721
55,0,50,full,1.0,4.289705753326416,0.15000000596046448,0.30016666650772095,19.25745874695066,0.03548456238651717,0.15221833142371285,3.908167520798671e-08,52597.38442901289
56,0,50,full,1.0,4.372790813446045,0.15000000596046448,0.29766666889190674,19.23067335242026,0.03466064874772672,0.15156376643213956,2.6716862752993208e-08,52591.10849600984
57,0,50,full,1.0,4.54531192779541,0.15000000596046448,0.2983333468437195,18.626559443375164,0.03358478368156486,0.1526533178602454,4.1996218864713295e-08,52425.887852034066
58,0,50,full,1.0,4.692728042602539,0.15000000596046448,0.304749995470047,18.615436780964956,0.03242315407152529,0.1521530443410694,1.0174079085007201e-07,52423.06211596588
59,0,50,full,1.0,4.773623943328857,0.15000000596046448,0.30683332681655884,18.702669024976245,0.031732226411501564,0.15147771577307623,7.913763602916834e-09,52602.916039992124
60,0,50,full,1.0,4.813238143920898,0.15000000596046448,0.312333345413208,19.207969673098653,0.031347399467119466,0.15088249882786506,2.701703397667288e-08,52572.12472095853
61,0,50,full,1.0,4.870931625366211,0.15000000596046448,0.31191667914390564,19.17580145441375,0.030993245900781067,0.15096598163086616,1.570080106997288e-07,52573.33035499323
62,0,50,full,1.0,4.9160003662109375,0.15000000596046448,0.3138333261013031,18.64153410963438,0.03068881260438098,0.15086621400171574,1.2733075267635085e-07,52430.697183008306
63,0,50,full,1.0,4.97706413269043,0.15000000596046448,0.304666668176651,18.566125974542015,0.030364015601851323,0.15112365297642683,1.177347289368399e-07,52401.214401004836
64,0,50,full,1.0,5.053332805633545,0.15000000596046448,0.31566667556762695,19.500383271197617,0.029934636938075226,0.15126968286390524,5.962288864327823e-08,52655.84676800063
65,0,50,full,1.0,5.161318302154541,0.15000000596046448,0.30550000071525574,19.220848306280526,0.029360517038515322,0.15153897395160937,1.2975650689925242e-07,52593.51469401736
66,0,50,full,1.0,5.118316650390625,0.15000000596046448,0.3085833191871643,18.955431510564974,0.0292893095286908,0.14991196063914292,1.2765414865661345e-07,52521.30673499778
67,0,50,full,1.0,5.320675373077393,0.15000000596046448,0.3135833442211151,18.635502035289797,0.028697942376688674,0.15269243526164153,1.1629103543536539e-07,52427.29436699301
68,0,50,full,1.0,5.487031936645508,0.15000000596046448,0.32116666436195374,18.926291637062267,0.027744330969397667,0.152234030089948,2.2894103632223697e-08,52531.20249102358
69,0,50,full,1.0,5.501130104064941,0.15000000596046448,0.32066667079925537,19.495676355263978,0.027385306158275516,0.15065013211632447,4.495843042316448e-08,52664.13728496991
70,0,50,full,1.0,5.708003044128418,0.15000000596046448,0.3059999942779541,19.217758115027443,0.02668236806574795,0.1523030381438442,3.6644840013574415e-07,52603.41994802002
71,0,50,full,1.0,5.697225570678711,0.15000000596046448,0.32499998807907104,19.238554271308843,0.026338754711603678,0.15005782684278285,1.860805024729624e-07,52595.55605403148
72,0,50,full,1.0,5.848421573638916,0.15000000596046448,0.32983332872390747,19.256194057676044,0.025955896396879796,0.15180102445064841,1.8894631083785803e-07,52597.72850899026
73,0,50,full,1.0,5.949256420135498,0.15000000596046448,0.33266666531562805,18.841013228477635,0.025437140575161686,0.15133207187666983,1.0265943827846681e-07,52476.3625980122
74,0,50,full,1.0,6.0667338371276855,0.15000000596046448,0.32624998688697815,18.63892435557554,0.024976295081001743,0.15152453449399905,1.1239834051474313e-07,52434.55225904472
75,0,50,full,1.0,6.110898971557617,0.15000000596046448,0.3356666564941406,18.65378625958261,0.02465384655666572,0.15065716556806785,9.864768847941448e-08,52454.25435202196
76,0,50,full,1.0,6.2636942863464355,0.15000000596046448,0.3344166576862335,19.521324877644442,0.02421333701522262,0.15166494071563058,1.7552201224541042e-07,52664.46256398922
77,0,50,full,1.0,6.233633518218994,0.15000000596046448,0.33425000309944153,18.92037421046687,0.024074663959995465,0.15007263220088654,1.778363584746277e-07,52506.719066994265
78,0,50,full,1.0,6.465481281280518,0.15000000596046448,0.35191667079925537,18.621805431838666,0.02358178803352294,0.15246760910986748,1.0868976976460933e-07,52425.03501207102
79,0,50,full,1.0,6.525444030761719,0.15000000596046448,0.3348333239555359,18.712682176933246,0.023111492374704945,0.15081274995851338,1.7054246109554433e-07,52617.06718802452
80,0,50,full,1.0,6.64185094833374,0.15000000596046448,0.3255000114440918,18.6441514822137,0.02277559993305692,0.15127214001424397,1.4804486797874593e-07,52459.8134130938
81,0,50,full,1.0,6.64493465423584,0.15000000596046448,0.3278333246707916,19.50775832713892,0.02262482148491674,0.1503404603310228,1.6336564780744318e-07,52664.66242005117
82,0,50,full,1.0,6.839592456817627,0.15000000596046448,0.34341666102409363,18.962137354106677,0.022225996327620966,0.15201675682765264,1.8121656721737234e-07,52520.69761592429
83,0,50,full,1.0,6.746516227722168,0.15000000596046448,0.3316666781902313,18.577073322160654,0.022110406178291197,0.14916821408337005,1.8794875303750224e-07,52405.929615022615
84,0,50,full,1.0,6.778507709503174,0.15000000596046448,0.34599998593330383,18.700380358603542,0.022218731156101932,0.1506098404370153,1.0992450674213789e-07,52616.50625290349
85,0,50,full,1.0,6.759899139404297,0.15000000596046448,0.32341668009757996,19.262774111875505,0.022189002028769916,0.14999541571852196,2.7646593225911294e-07,52632.55999900866
