iter,seed,n_agents,estimator,p,snd_t,snd_des,reward_mean,metric_time_ms,scaling_ratio_mean,applied_snd,out_loc_norm_mean,iter_time_ms
0,1,50,full,1.0,0.22868715226650238,0.15000000596046448,0.2160833328962326,18.439168622286093,0.7503202263955717,0.17158859586236064,0.0,51997.918336011935
1,1,50,full,1.0,0.281947523355484,0.15000000596046448,0.2045833319425583,18.571330809801886,0.5926473758838795,0.16709545985358643,0.0,51954.736676008906
2,1,50,full,1.0,0.3311437666416168,0.15000000596046448,0.20550000667572021,18.63946690638032,0.4909406697308576,0.16257194257223417,0.0,52016.69851702172
3,1,50,full,1.0,0.37600409984588623,0.15000000596046448,0.20808333158493042,18.633583977309712,0.4246551121826525,0.1596720632011921,0.0,52025.97762399819
4,1,50,full,1.0,0.4159107804298401,0.15000000596046448,0.19591666758060455,19.482853226967293,0.37891599933306375,0.1575952489999673,0.0,52240.47598202014
5,1,50,full,1.0,0.4487714469432831,0.15000000596046448,0.2095833271741867,18.939037580707076,0.3473768441765397,0.1558928089956971,0.0,52092.21818501828
6,1,50,full,1.0,0.48008018732070923,0.15000000596046448,0.20925000309944153,18.630450478263406,0.3232411368025674,0.15518166550593554,0.0,52023.026134993415
7,1,50,full,1.0,0.5296952128410339,0.15000000596046448,0.2136666625738144,18.66335428268131,0.2972022971621266,0.15742663405213686,0.0,52196.652918995824
8,1,50,full,1.0,0.5774275064468384,0.15000000596046448,0.2254166603088379,19.159422692825533,0.27081110952077087,0.15637378368868038,0.0,52121.64843396749
9,1,50,full,1.0,0.619899332523346,0.15000000596046448,0.22733333706855774,19.425377725511446,0.2505924062044532,0.15534206534155973,7.732331552823268e-10,52224.98524899129
10,1,50,full,1.0,0.6660462617874146,0.15000000596046448,0.23016665875911713,19.262426164156448,0.2332994027822106,0.1553881951003277,0.0,52112.25524597103
11,1,50,full,1.0,0.7076066136360168,0.15000000596046448,0.23199999332427979,19.261135788918992,0.21823767727171933,0.15442642378203122,3.2776293842084203e-10,52186.37260701507
12,1,50,full,1.0,0.7602068781852722,0.15000000596046448,0.2279166728258133,18.70434387690491,0.20416147195630605,0.15520495524161343,0.0,52038.892762036994
13,1,50,full,1.0,0.813901960849762,0.15000000596046448,0.23649999499320984,18.660982030538705,0.1902602661539007,0.15485320369445738,2.6901702610404997e-09,52047.490946017206
14,1,50,full,1.0,0.8573605418205261,0.15000000596046448,0.23633332550525665,18.77706215428016,0.17971144577971213,0.1540775025250441,1.1582378404110209e-09,52231.45355400629
15,1,50,full,1.0,0.9014676809310913,0.15000000596046448,0.23624999821186066,19.232993713942253,0.17060437053442,0.15379432626237222,3.4096616341872524e-08,52118.067275965586
16,1,50,full,1.0,0.966194212436676,0.15000000596046448,0.2384166717529297,19.174619660393713,0.16042335739842167,0.15500011945801542,2.0166983757849317e-09,52169.490842032246
17,1,50,full,1.0,1.017539620399475,0.15000000596046448,0.23158332705497742,18.617799092317,0.15087822515655447,0.15352457195234698,3.5281207052195525e-09,52007.43645604234
18,1,50,full,1.0,1.0616408586502075,0.15000000596046448,0.23108333349227905,18.601300576874227,0.14431802889815085,0.15321391611813834,9.179552813555326e-09,52006.522901006974
19,1,50,full,1.0,1.1080645322799683,0.15000000596046448,0.22683332860469818,18.691496280910172,0.13843478190678138,0.15339467186481712,1.5220855372950398e-08,52175.29636499239
20,1,50,full,1.0,1.1588518619537354,0.15000000596046448,0.2342499941587448,18.99575538894472,0.1323633744760796,0.15338954296608437,6.8382703479922e-08,52135.080440028105
21,1,50,full,1.0,1.204882264137268,0.15000000596046448,0.2316666692495346,19.583918680048857,0.12682133968229647,0.15280478289732694,1.5865899814627838e-08,52290.094816009514
22,1,50,full,1.0,1.253881812095642,0.15000000596046448,0.2280000001192093,18.98645793510325,0.12207381752906023,0.1530661395327708,0.0,52097.366637026425
23,1,50,full,1.0,1.3196563720703125,0.15000000596046448,0.2252500057220459,18.690440993911277,0.11662494556771384,0.15390485256078693,6.900805420254167e-09,52026.19506395422
24,1,50,full,1.0,1.410172939300537,0.15000000596046448,0.21766667068004608,18.79099542318188,0.10988011636115887,0.15494996665970043,3.7670231679754535e-09,52226.1782779824
25,1,50,full,1.0,1.4705842733383179,0.15000000596046448,0.23549999296665192,19.26143455526067,0.10409612462476447,0.15308212378864425,4.6838562604356796e-08,52220.95235303277
26,1,50,full,1.0,1.5342350006103516,0.15000000596046448,0.2212499976158142,19.490460169941393,0.09974941821010025,0.15303904870845536,8.805305752436334e-09,52251.34730199352
27,1,50,full,1.0,1.5608218908309937,0.15000000596046448,0.23391667008399963,18.892111252191373,0.09707371308295815,0.1515147764041281,2.063453975259327e-07,52066.11710297875
28,1,50,full,1.0,1.6441996097564697,0.15000000596046448,0.2358333319425583,18.51266195191312,0.09354089675126252,0.15379990593469606,8.066843366409105e-08,51945.45495201601
29,1,50,full,1.0,1.67327880859375,0.15000000596046448,0.24133333563804626,18.71285389729396,0.0906482665627091,0.15167982347513856,1.5758574116525386e-07,52173.90944098588
30,1,50,full,1.0,1.754675269126892,0.15000000596046448,0.22291666269302368,18.69674422066762,0.0875296967724959,0.1535861942408745,2.1939120735135508e-08,51993.22725896491
31,1,50,full,1.0,1.803256630897522,0.15000000596046448,0.2448333352804184,19.44049740473188,0.08439801158728423,0.1521912740293362,6.91720624484887e-08,52263.7043989962
32,1,50,full,1.0,1.8526802062988281,0.15000000596046448,0.24008333683013916,19.03632167981144,0.08203324791457918,0.15198137466974546,1.203262344655291e-07,52128.51379200583
33,1,50,full,1.0,1.93413245677948,0.15000000596046448,0.24566666781902313,18.64131424507057,0.07920948865788954,0.15320164289813026,5.932120761646213e-08,51957.53506600158
34,1,50,full,1.0,1.9708231687545776,0.15000000596046448,0.24783332645893097,18.75126774991966,0.07688760928533696,0.15153188176969168,3.199457530695198e-08,52148.12238799641
35,1,50,full,1.0,2.0324554443359375,0.15000000596046448,0.2447499930858612,19.297856572127245,0.07496481868955825,0.1523626538792491,1.296933642696501e-07,52140.3665249818
36,1,50,full,1.0,2.1182382106781006,0.15000000596046448,0.2384166717529297,19.13497049029468,0.07225261198149788,0.15304824352050717,3.9267104055160814e-08,52168.255869997665
37,1,50,full,1.0,2.095665454864502,0.15000000596046448,0.265666663646698,18.659650470362976,0.07138121205347556,0.14959114022682632,9.356166430504125e-08,52001.987102034036
38,1,50,full,1.0,2.1476988792419434,0.15000000596046448,0.250083327293396,18.61626699316764,0.07080396071628288,0.1520655870762513,1.8968238345869143e-07,51981.57303099288
39,1,50,full,1.0,2.230215072631836,0.15000000596046448,0.25691667199134827,19.45104726689385,0.06854128318804281,0.15286180286350012,1.6166813577393284e-07,52224.552808038425
40,1,50,full,1.0,2.3077430725097656,0.15000000596046448,0.25091665983200073,18.982711565223763,0.06612698165354905,0.1526040838169582,5.772114034262053e-08,52121.232606994454
41,1,50,full,1.0,2.326120615005493,0.15000000596046448,0.26483333110809326,19.577822342290784,0.0648552517372149,0.15086113805730642,1.302761381208431e-07,52262.17626500875
42,1,50,full,1.0,2.3823623657226562,0.15000000596046448,0.2671666741371155,18.682469692107084,0.06379110675167154,0.15197353199297872,6.271949302288092e-08,52026.95900097024
43,1,50,full,1.0,2.4043216705322266,0.15000000596046448,0.27250000834465027,18.65699485793744,0.06280429617122367,0.1510017302869972,7.827689109273104e-08,52024.074615037534
44,1,50,full,1.0,2.505424737930298,0.15000000596046448,0.26908332109451294,18.75301245104142,0.06108428056317347,0.15304206762164968,1.3136380224874232e-07,52191.17288099369
45,1,50,full,1.0,2.534418821334839,0.15000000596046448,0.28224998712539673,19.289583905332687,0.05965453011018258,0.1511895638891326,3.626097683319653e-07,52215.99119302118
46,1,50,full,1.0,2.5932657718658447,0.15000000596046448,0.2893333435058594,19.403439440065995,0.05857233065697882,0.15189362027115166,1.645224259202479e-07,52208.94408301683
47,1,50,full,1.0,2.6303751468658447,0.15000000596046448,0.28174999356269836,19.19830679932299,0.057463632303255574,0.15115091025912078,1.2860066389548521e-07,52146.4244670351
48,1,50,full,1.0,2.6617929935455322,0.15000000596046448,0.2750000059604645,18.91702061596637,0.05684283080476302,0.15130384876941236,1.1015318319480879e-07,52060.84285501856
49,1,50,full,1.0,2.682481050491333,0.15000000596046448,0.2945833206176758,18.636169548456866,0.05623042085380466,0.1508370384014837,6.931018785284172e-08,52006.77799497498
50,1,50,full,1.0,2.7698628902435303,0.15000000596046448,0.28583332896232605,18.641126272915344,0.05501536020526179,0.15238500462593532,5.952587695287923e-08,51946.00402197102
51,1,50,full,1.0,2.843843936920166,0.15000000596046448,0.2861666679382324,19.484024389250273,0.05349927265886907,0.15214358218056362,2.9596160066103424e-07,52183.42824699357
52,1,50,full,1.0,2.8577768802642822,0.15000000596046448,0.2840000092983246,18.963289688151605,0.052742233982792604,0.15072553688951384,7.376534173307751e-08,52103.61622599885
53,1,50,full,1.0,2.9402689933776855,0.15000000596046448,0.2945833206176758,18.626770895422883,0.05179466816286246,0.15229025682155087,2.2420229395021857e-07,51947.72464205744
54,1,50,full,1.0,2.940819263458252,0.15000000596046448,0.2867499887943268,18.73375956934911,0.05117238635818164,0.15048873955926884,6.767674577947116e-08,52205.72822802933
55,1,50,full,1.0,3.0852808952331543,0.15000000596046448,0.3031666576862335,19.260856256975483,0.0497452089631999,0.15347794284354171,1.6507561523065666e-08,52172.12553403806
56,1,50,full,1.0,3.1106300354003906,0.15000000596046448,0.29600000381469727,19.133806902768644,0.04853522578875224,0.15097513111343233,5.856003110657379e-08,52129.91289701313
57,1,50,full,1.0,3.168179512023926,0.15000000596046448,0.3009999990463257,18.64602847943186,0.04784719648736495,0.15158850761905276,1.978626629128175e-08,52016.77848998224
58,1,50,full,1.0,3.3288211822509766,0.15000000596046448,0.3004166781902313,18.620021724038654,0.046100735664367676,0.15346110539690017,1.6887650000753218e-07,51996.351932000834
59,1,50,full,1.0,3.3441405296325684,0.15000000596046448,0.30658334493637085,18.72520931690276,0.04507074750683926,0.1507229134384572,5.905951355762666e-08,52166.91619501216
60,1,50,full,1.0,3.4039199352264404,0.15000000596046448,0.2979166805744171,19.208079440243267,0.04453228449931851,0.15158433096840568,9.687704426585985e-08,52134.44730598712
61,1,50,full,1.0,3.591527223587036,0.15000000596046448,0.31191667914390564,19.206345623954096,0.04276659639069327,0.15359739519733398,5.002659218585933e-08,52181.04649300221
62,1,50,full,1.0,3.557003974914551,0.15000000596046448,0.29733332991600037,18.65824313825686,0.042078652757185475,0.14967393511635785,1.0439673196307288e-07,52021.68262103805
63,1,50,full,1.0,3.504458427429199,0.15000000596046448,0.2979166805744171,18.653251667274162,0.04260326058224395,0.14930135558340704,4.197708924897204e-08,52026.08627197333
64,1,50,full,1.0,3.549544095993042,0.15000000596046448,0.30808332562446594,19.50249474461156,0.042587691752447025,0.1511668898218699,2.5835599387168528e-08,52237.00620903401
65,1,50,full,1.0,3.5935721397399902,0.15000000596046448,0.3082500100135803,19.208525525000706,0.04206407358524976,0.1511602829199264,7.66371542544454e-08,52162.94906201074
66,1,50,full,1.0,3.7580907344818115,0.15000000596046448,0.29083332419395447,18.85575924491234,0.04076857650997462,0.15321200964014844,2.4049900522696804e-07,52052.42503999034
67,1,50,full,1.0,3.769578218460083,0.15000000596046448,0.281166672706604,18.63127427900003,0.03997521336983751,0.15068969359723378,3.252303634215392e-07,52018.68784398539
68,1,50,full,1.0,3.8811275959014893,0.15000000596046448,0.2904166579246521,18.905663493744754,0.03920240621599886,0.15214954059065325,3.969102664643005e-08,52128.70717502665
69,1,50,full,1.0,3.995760679244995,0.15000000596046448,0.3049166798591614,19.547113372849438,0.03805617129913083,0.1520633528796789,4.629950369082635e-08,52263.7960719876
70,1,50,full,1.0,4.0281453132629395,0.15000000596046448,0.2980833351612091,19.228172541113086,0.03745410864551862,0.15087059220288676,9.757984586199764e-08,52142.853320983704
71,1,50,full,1.0,4.149582386016846,0.15000000596046448,0.2826666533946991,19.264483106477808,0.036661426971356076,0.1521296116065821,6.217433474731138e-08,52120.44451601105
72,1,50,full,1.0,4.2782368659973145,0.15000000596046448,0.28466665744781494,19.234160228235716,0.035577296162093125,0.15220810003317156,1.074534664897896e-08,52189.53958299244
73,1,50,full,1.0,4.424464702606201,0.15000000596046448,0.2993333339691162,18.9308523808399,0.03443578930088767,0.15235993426816177,8.007141165507471e-08,52076.559854031075
74,1,50,full,1.0,4.557478904724121,0.15000000596046448,0.3019166588783264,18.630544423919034,0.033390180173295515,0.1521750417647319,1.1081262250396658e-08,52001.00387999555
75,1,50,full,1.0,4.605633735656738,0.15000000596046448,0.28466665744781494,18.630691960290143,0.03278081468134015,0.15097642597869187,2.9163241288707896e-07,52028.769481985364
76,1,50,full,1.0,4.647785663604736,0.15000000596046448,0.3005000054836273,19.41730754700041,0.032462913694757005,0.15088066486932947,1.3475863380901267e-07,52209.85521900002
