iter,seed,n_agents,estimator,p,snd_t,snd_des,reward_mean,metric_time_ms,scaling_ratio_mean,applied_snd,out_loc_norm_mean
0,0,50,graph_p01,0.1,0.23690681159496307,0.14000000059604645,0.21533332765102386,1.9642095277689535,0.6786939194908849,0.1607872125154741,0.0
1,0,50,graph_p01,0.1,0.2884227931499481,0.14000000059604645,0.20258332788944244,1.9366410800204095,0.536665834652053,0.15478665901849334,0.0
2,0,50,graph_p01,0.1,0.33648502826690674,0.14000000059604645,0.19949999451637268,1.9591995732669063,0.4488409419854482,0.1510282570513186,0.0
3,0,50,graph_p01,0.1,0.3804418742656708,0.14000000059604645,0.20550000667572021,1.9500912124015115,0.3906025421840173,0.14860156324142326,0.0
4,0,50,graph_p01,0.1,0.41435879468917847,0.14000000059604645,0.19958333671092987,1.940928950379775,0.3522727265402123,0.14596730237107294,0.0
5,0,50,graph_p01,0.1,0.45158472657203674,0.14000000059604645,0.20675000548362732,1.9476262915068892,0.3239068818313104,0.14627140066659333,0.0
6,0,50,graph_p01,0.1,0.4828116297721863,0.14000000059604645,0.21449999511241913,1.9486886832897585,0.29938278054749523,0.14454548820186497,0.0
7,0,50,graph_p01,0.1,0.5266239643096924,0.14000000059604645,0.226666659116745,1.9458005381575614,0.2774019059207704,0.14608649140306043,0.0
8,0,50,graph_p01,0.1,0.5643749833106995,0.14000000059604645,0.22708332538604736,1.9554998583367302,0.25662187779391255,0.14483096799709974,0.0
9,0,50,graph_p01,0.1,0.6116882562637329,0.14000000059604645,0.23600000143051147,1.9408532845166822,0.23840814470141022,0.14583146231147734,0.0
10,0,50,graph_p01,0.1,0.6508574485778809,0.14000000059604645,0.23608332872390747,1.9307425230551787,0.22222986077820814,0.14463996018392222,1.8431789831547726e-10
11,0,50,graph_p01,0.1,0.7129514813423157,0.14000000059604645,0.23000000417232513,1.9517291272576485,0.205079072382715,0.14621142844756463,2.2575301874796752e-10
12,0,50,graph_p01,0.1,0.7626837491989136,0.14000000059604645,0.2342499941587448,1.9524655179810468,0.1895375140287258,0.14455718181327026,6.747685795476326e-08
13,0,50,graph_p01,0.1,0.8035858869552612,0.14000000059604645,0.23499999940395355,1.9415076679757073,0.17903516309128867,0.14387013032889306,4.556458828451781e-09
14,0,50,graph_p01,0.1,0.8520793914794922,0.14000000059604645,0.24116666615009308,1.9582425108334671,0.16962112138668697,0.14453066189323732,2.4727672350062565e-09
15,0,50,graph_p01,0.1,0.9063631892204285,0.14000000059604645,0.24141666293144226,1.9349356975268435,0.15917986200915443,0.14427476739028494,1.68345341249917e-09
16,0,50,graph_p01,0.1,0.9518193602561951,0.14000000059604645,0.2488333284854889,1.9534712129151794,0.1506246026467394,0.14336741293006308,2.0249289576799742e-08
17,0,50,graph_p01,0.1,0.9649250507354736,0.14000000059604645,0.24766667187213898,1.940000810470708,0.14648646381166247,0.14134845852552852,7.609813160807193e-08
18,0,50,graph_p01,0.1,1.0196629762649536,0.14000000059604645,0.2565000057220459,1.9414693697062493,0.14122269291568684,0.14399955137456083,4.0072027342443173e-10
19,0,50,graph_p01,0.1,1.1005603075027466,0.14000000059604645,0.2542499899864197,1.9466378221598764,0.13188072680323212,0.14514269324425086,7.933057009655318e-11
20,0,50,graph_p01,0.1,1.1668411493301392,0.14000000059604645,0.25691667199134827,1.9538369262591004,0.12333648099943444,0.14391408124371494,1.4668703678830827e-08
21,0,50,graph_p01,0.1,1.2497234344482422,0.14000000059604645,0.24683333933353424,1.9591681139664379,0.11579131528183266,0.14470712021329113,6.492415024771669e-08
22,0,50,graph_p01,0.1,1.3107686042785645,0.14000000059604645,0.24841666221618652,1.937892237091782,0.1094743271668752,0.14349551102485994,1.0406027131288826e-08
23,0,50,graph_p01,0.1,1.378815770149231,0.14000000059604645,0.25075000524520874,1.9340523175843474,0.1042445458471775,0.14373402376613287,7.705696694363549e-08
24,0,50,graph_p01,0.1,1.453226089477539,0.14000000059604645,0.25341665744781494,1.9559843733009916,0.09886017899822305,0.1436661913306372,3.262374743262931e-08
25,0,50,graph_p01,0.1,1.5173038244247437,0.14000000059604645,0.25049999356269836,1.952314568485168,0.09428288599959127,0.14305578350498194,4.022431205100049e-08
26,0,50,graph_p01,0.1,1.5817561149597168,0.14000000059604645,0.26391667127609253,1.9654949312098324,0.09059934271154581,0.14330606434531862,3.071467722017047e-08
27,0,50,graph_p01,0.1,1.654785394668579,0.14000000059604645,0.2549999952316284,1.9738828217938404,0.08661695114440388,0.1433324656844814,2.982772310759722e-08
28,0,50,graph_p01,0.1,1.7293853759765625,0.14000000059604645,0.2567499876022339,1.9437908766256575,0.08270264999182136,0.14302475345036406,1.2037463124506572e-07
29,0,50,graph_p01,0.1,1.7902531623840332,0.14000000059604645,0.2580833435058594,1.9740365868158363,0.07978250850681905,0.14283088815726383,1.2403637596068872e-07
30,0,50,graph_p01,0.1,1.8651362657546997,0.14000000059604645,0.2529166638851166,1.9622778845519793,0.0766911197591711,0.14303938872416685,7.099594091436662e-08
31,0,50,graph_p01,0.1,1.925843596458435,0.14000000059604645,0.2630833387374878,1.9507306397254407,0.07392152321559411,0.14236129212520546,9.112346702061513e-08
32,0,50,graph_p01,0.1,2.008054494857788,0.14000000059604645,0.24950000643730164,1.9505223078239295,0.07122170958254072,0.1430170740586769,1.0492866888124876e-07
33,0,50,graph_p01,0.1,2.0507025718688965,0.14000000059604645,0.2684166729450226,1.9485105441331312,0.06904432296201035,0.14158937067114133,3.8688187620308894e-08
34,0,50,graph_p01,0.1,2.1487655639648438,0.14000000059604645,0.25200000405311584,1.9498594008230914,0.06649145125238984,0.14287454074918238,6.498087541163461e-08
35,0,50,graph_p01,0.1,2.215350866317749,0.14000000059604645,0.2720833420753479,1.9768936292233843,0.06413277017849463,0.14207658797428518,9.199013576790271e-08
36,0,50,graph_p01,0.1,2.323011875152588,0.14000000059604645,0.27541667222976685,1.9283601598107014,0.061715557481403706,0.14336597291096295,1.0928498043779641e-07
37,0,50,graph_p01,0.1,2.3824031352996826,0.14000000059604645,0.257666677236557,1.9444716119862817,0.05940941281064793,0.14153717134640076,1.2116094733441544e-07
38,0,50,graph_p01,0.1,2.483475685119629,0.14000000059604645,0.2796666622161865,1.953701192461368,0.05754233154433745,0.14290498125545428,6.514415744988492e-08
39,0,50,graph_p01,0.1,2.5110437870025635,0.14000000059604645,0.27524998784065247,1.9465139116315793,0.056110936306692935,0.14089701799581786,5.92741954953114e-08
40,0,50,graph_p01,0.1,2.557101011276245,0.14000000059604645,0.2710833251476288,1.9477212823134054,0.05550317885699096,0.1419272347842579,8.99384803095959e-08
41,0,50,graph_p01,0.1,2.5837907791137695,0.14000000059604645,0.2799166738986969,1.9590863539768313,0.05461403270838437,0.14111123412214135,1.3296197785870077e-07
42,0,50,graph_p01,0.1,2.651620388031006,0.14000000059604645,0.2775833308696747,1.939124755854546,0.05345781296491623,0.14174982675732012,5.289348217351733e-08
43,0,50,graph_p01,0.1,2.719123363494873,0.14000000059604645,0.2761666774749756,1.9485147829443492,0.05197851904840381,0.14133600554437808,2.5458125341242335e-07
44,0,50,graph_p01,0.1,2.758026361465454,0.14000000059604645,0.2862499952316284,1.9492438526530922,0.05128952315836041,0.14145785693775093,3.444268551214783e-07
45,0,50,graph_p01,0.1,2.8160271644592285,0.14000000059604645,0.2903333306312561,1.9602027754040643,0.050109423365857865,0.14110949739364373,5.444233222215742e-07
46,0,50,graph_p01,0.1,2.8310134410858154,0.14000000059604645,0.2826666533946991,1.948048695878781,0.04957848211957349,0.1403573492691453,1.0343162295462155e-07
47,0,50,graph_p01,0.1,2.8561506271362305,0.14000000059604645,0.28308331966400146,1.954807931367584,0.04927492729491657,0.14073661449546812,8.956495096731395e-08
48,0,50,graph_p01,0.1,2.9112014770507812,0.14000000059604645,0.2956666648387909,1.953064973026307,0.04851429571432096,0.14123488934160958,8.037259588150191e-08
49,0,50,graph_p01,0.1,3.025235176086426,0.14000000059604645,0.29600000381469727,1.9604096695763507,0.04723090508745776,0.14288459546897653,2.113629662943274e-07
50,0,50,graph_p01,0.1,3.023376703262329,0.14000000059604645,0.28966665267944336,1.9605774419485695,0.04647268574270937,0.1405044354125389,4.543062912562876e-08
51,0,50,graph_p01,0.1,3.114429235458374,0.14000000059604645,0.3044166564941406,1.9538132478138086,0.04558206727659261,0.1419621229388505,5.6369384213161847e-08
52,0,50,graph_p01,0.1,3.250051736831665,0.14000000059604645,0.2874166667461395,1.944394258747774,0.043965233793413196,0.14288928445049276,2.0839184919064492e-07
53,0,50,graph_p01,0.1,3.2902138233184814,0.14000000059604645,0.2903333306312561,1.9414450352390606,0.04286829527053568,0.14104585768121478,1.2359313948682746e-07
54,0,50,graph_p01,0.1,3.355311870574951,0.14000000059604645,0.2848333418369293,1.94562661905635,0.04206958799450486,0.1411565879881596,2.71147048256021e-07
55,0,50,graph_p01,0.1,3.420947790145874,0.14000000059604645,0.3034166693687439,1.9590728336307048,0.0414293865914698,0.1417277685071877,8.398933012327887e-08
56,0,50,graph_p01,0.1,3.4552643299102783,0.14000000059604645,0.30250000953674316,1.9628630168477281,0.0408113896984745,0.1410141390792067,1.1046631168404731e-07
57,0,50,graph_p01,0.1,3.507599353790283,0.14000000059604645,0.2919166684150696,1.9444098635749132,0.04026044681668282,0.14121751723750472,2.2610392321559054e-07
58,0,50,graph_p01,0.1,3.6605064868927,0.14000000059604645,0.2926666736602783,1.9538086472527572,0.03902767188847065,0.1428610461160667,2.5495366363565894e-07
59,0,50,graph_p01,0.1,3.7090697288513184,0.14000000059604645,0.3089999854564667,1.9365181581600122,0.03803606004350715,0.14107839891214355,1.2213664003954301e-07
60,0,50,graph_p01,0.1,3.8169517517089844,0.14000000059604645,0.3059999942779541,1.9450975541042648,0.03712410103115771,0.14170090246149872,1.4190591894696152e-07
61,0,50,graph_p01,0.1,3.9576611518859863,0.14000000059604645,0.3031666576862335,1.9495043731122106,0.03605594497036051,0.1426972127037347,1.3032587846355197e-07
62,0,50,graph_p01,0.1,3.9211528301239014,0.14000000059604645,0.29508334398269653,1.9534875668964728,0.03559624305753796,0.13957830920684325,1.61148815352082e-07
63,0,50,graph_p01,0.1,3.9214205741882324,0.14000000059604645,0.3167499899864197,1.9379652749867764,0.035718867651842255,0.14006870249664075,7.118109445258556e-08
64,0,50,graph_p01,0.1,3.9795453548431396,0.14000000059604645,0.3251666724681854,1.9607495257837906,0.03543372958622597,0.14101013397963347,1.1044733537818755e-07
65,0,50,graph_p01,0.1,4.05311393737793,0.14000000059604645,0.32358333468437195,1.942392713735225,0.034822712797257634,0.1411404225758737,1.089443037133114e-07
66,0,50,graph_p01,0.1,4.0989885330200195,0.14000000059604645,0.3205833435058594,1.9327713385724496,0.03448145937312532,0.14133910657223636,1.1991927903362462e-08
67,0,50,graph_p01,0.1,4.281305313110352,0.14000000059604645,0.31683334708213806,1.9554893958330568,0.033422581023640104,0.14309227371437158,1.5074164039672485e-07
68,0,50,graph_p01,0.1,4.343291759490967,0.14000000059604645,0.3254166543483734,1.9537352661481473,0.03246649030458044,0.14101143979947758,1.421150242190509e-07
