iter,seed,n_agents,estimator,p,snd_t,snd_des,reward_mean,metric_time_ms,scaling_ratio_mean,applied_snd,out_loc_norm_mean,iter_time_ms
0,2,50,full,1.0,0.23335114121437073,0.15000000596046448,0.20816665887832642,18.457728620894528,0.7308547898575112,0.17054579927523933,0.0,52352.51695907209
1,2,50,full,1.0,0.28339484333992004,0.15000000596046448,0.19566667079925537,18.422152006705463,0.5852261318100823,0.16585006794274568,0.0,52261.98732294142
2,2,50,full,1.0,0.3312893509864807,0.15000000596046448,0.19766665995121002,18.425937446213705,0.4890053990814421,0.16200228129057595,0.0,52277.94320695102
3,2,50,full,1.0,0.38245123624801636,0.15000000596046448,0.20033332705497742,18.42462959466502,0.42109730773501924,0.1610491859239695,0.0,52307.49077710789
4,2,50,full,1.0,0.42828452587127686,0.15000000596046448,0.20266667008399963,19.23353769643991,0.36967694947013147,0.15832691702935522,0.0,52510.93153399415
5,2,50,full,1.0,0.47121572494506836,0.15000000596046448,0.20858334004878998,18.713500888811218,0.3335608705326363,0.1571791274213443,0.0,52360.21451395936
6,2,50,full,1.0,0.5154569745063782,0.15000000596046448,0.20641666650772095,18.449027302968144,0.30366229083802965,0.15652484570704664,0.0,52282.82434702851
7,2,50,full,1.0,0.5568540692329407,0.15000000596046448,0.2136666625738144,18.50483448813773,0.28001125344523675,0.15592540591199636,0.0,52437.588257016614
8,2,50,full,1.0,0.6003309488296509,0.15000000596046448,0.21124999225139618,19.00797062596582,0.2587735454241435,0.1553497680564888,0.0,52456.1458240496
9,2,50,full,1.0,0.6447418928146362,0.15000000596046448,0.22341667115688324,19.304062348911195,0.24098255921293188,0.15537155136226086,1.0030947595185825e-09,52527.29472599458
10,2,50,full,1.0,0.6936513185501099,0.15000000596046448,0.2174166589975357,18.98333843521498,0.224091554902218,0.15544140253386785,0.0,52411.68670996558
11,2,50,full,1.0,0.7523000240325928,0.15000000596046448,0.21375000476837158,19.03210030998,0.20705624415918633,0.15576841745705428,9.570740381284984e-10,52458.24182103388
12,2,50,full,1.0,0.8072736859321594,0.15000000596046448,0.2084999978542328,18.441390700172633,0.19227289938264422,0.1552168521894904,9.156308138029372e-09,52292.888924945146
13,2,50,full,1.0,0.8707755208015442,0.15000000596046448,0.20874999463558197,18.483444226526277,0.17933023345691188,0.15615637743390495,0.0,52309.0681360336
14,2,50,full,1.0,0.9510324597358704,0.15000000596046448,0.2148333340883255,18.528261374578708,0.1645515079299609,0.1564938253398773,0.0,52456.71789604239
15,2,50,full,1.0,1.0445247888565063,0.15000000596046448,0.20733332633972168,19.01629581073023,0.15042928810472841,0.157127120395426,6.876184067920681e-09,52444.26022702828
16,2,50,full,1.0,1.1066043376922607,0.15000000596046448,0.20491667091846466,18.988805895895457,0.13899464325772393,0.15381207514498563,9.904119706231561e-09,52421.45729996264
17,2,50,full,1.0,1.175735354423523,0.15000000596046448,0.19608333706855774,18.471485183194833,0.13139187020284157,0.15448206708130746,4.782081108219728e-07,52294.42613397259
18,2,50,full,1.0,1.2230134010314941,0.15000000596046448,0.1967500001192093,18.46280313157304,0.12529113999119512,0.1532327432397446,6.789722244396848e-08,52301.30890000146
19,2,50,full,1.0,1.276635766029358,0.15000000596046448,0.19816666841506958,18.534643174563016,0.12014959843622314,0.15338727463774746,6.06056849063226e-09,52452.13947200682
20,2,50,full,1.0,1.3319555521011353,0.15000000596046448,0.2055833339691162,18.76579657395336,0.11504072312403608,0.15322912988278933,6.145703588649372e-08,52383.60366295092
21,2,50,full,1.0,1.3991981744766235,0.15000000596046448,0.20591667294502258,19.265139911806695,0.10980341635920383,0.15363673972109462,6.895763525070918e-08,52509.499897947535
22,2,50,full,1.0,1.4248524904251099,0.15000000596046448,0.20516666769981384,18.723369151336588,0.10652216510088355,0.15177837222946866,4.604446669585709e-08,52368.15623100847
23,2,50,full,1.0,1.515032172203064,0.15000000596046448,0.21041665971279144,18.463524188242715,0.10199363386189496,0.1545236366606707,5.931499427057495e-08,52290.10301397648
24,2,50,full,1.0,1.5710939168930054,0.15000000596046448,0.21324999630451202,18.524027668819244,0.09728411758939425,0.1528424853550011,1.295135796054365e-07,52461.460511083715
25,2,50,full,1.0,1.6553661823272705,0.15000000596046448,0.2044166624546051,19.02109421574062,0.09310286511425618,0.15411933438791706,2.1466591521908436e-07,52473.085651989095
26,2,50,full,1.0,1.7093932628631592,0.15000000596046448,0.2291666716337204,19.287519954162203,0.08926356360316276,0.15258653424240354,1.0677246482641484e-07,52516.42314204946
27,2,50,full,1.0,1.8007757663726807,0.15000000596046448,0.21299999952316284,18.72839940090974,0.08556569298660313,0.15408462636315975,1.2962657409173503e-07,52365.27980398387
28,2,50,full,1.0,1.8362301588058472,0.15000000596046448,0.2251666635274887,18.480962727443075,0.08260436800343018,0.15168063177699526,2.1676961554228524e-07,52297.301533049904
29,2,50,full,1.0,1.870310664176941,0.15000000596046448,0.234416663646698,18.490141232635963,0.08103225438131226,0.15155548951166695,2.6655077691193925e-07,52450.11234190315
30,2,50,full,1.0,1.9230537414550781,0.15000000596046448,0.22675000131130219,18.498444284691853,0.0791394563736739,0.1521894276761145,1.8655890621900442e-07,52321.8223459553
31,2,50,full,1.0,1.9198377132415771,0.15000000596046448,0.25716665387153625,19.25191125591044,0.07840068486553652,0.15051659154882516,4.142366742592245e-07,52515.32009802759
32,2,50,full,1.0,1.985850214958191,0.15000000596046448,0.2511666715145111,18.64596657903382,0.07686883244249555,0.15264998742951494,1.6627080854765808e-07,52344.81236489955
33,2,50,full,1.0,1.984380841255188,0.15000000596046448,0.25975000858306885,18.49281674776985,0.07581385059489144,0.15044355262228581,2.8222599379220713e-07,52309.447915060446
34,2,50,full,1.0,2.0057053565979004,0.15000000596046448,0.2705833315849304,18.57145320305049,0.07539384881103481,0.15121784641482475,1.719001664453375e-07,52481.96970799472
35,2,50,full,1.0,2.0635900497436523,0.15000000596046448,0.2681666612625122,19.017502127422226,0.07376036221782366,0.15221114953818854,2.094805798551151e-07,52453.71098793112
36,2,50,full,1.0,2.0594117641448975,0.15000000596046448,0.28083333373069763,19.013180222396773,0.07307477968710441,0.1504910609499194,2.5933315982234824e-07,52445.95595996361
37,2,50,full,1.0,2.040789842605591,0.15000000596046448,0.29783332347869873,18.420967979235918,0.07355436936572746,0.15010900988083642,3.0081624513772703e-07,52289.2632400617
38,2,50,full,1.0,2.1137075424194336,0.15000000596046448,0.2941666543483734,18.46961599421101,0.0722785063639835,0.15277562405636297,2.964518987073329e-07,52304.50751807075
