n,R,n_pairs,p,mean_edges,full_time_mean,full_time_std,full_time_median,sample_time_mean,sample_time_std,sample_time_median,speedup,speedup_median,SND_full,device,dtype,timing_trials,num_envs,rollout_steps,obs_dim,act_dim
100,409600,4950,0.1,504.95,0.614940620600828,0.0013992890501592188,0.6150377355079399,0.06291073314350797,0.003031678595014144,0.0628228649875382,9.774812498179994,9.790030041290562,0.0046733589842915535,cuda:0,float32,20,32,128,18,2
100,409600,4950,0.25,1237.7,0.614940620600828,0.0013992890501592188,0.6150377355079399,0.15405093474691967,0.003806517845072984,0.15420289848407265,3.99180064444967,3.988496594773581,0.0046733589842915535,cuda:0,float32,20,32,128,18,2
100,409600,4950,0.5,2472.55,0.614940620600828,0.0013992890501592188,0.6150377355079399,0.30827408265176925,0.003907034853842241,0.3085007699992275,1.9947853394327462,1.9936343611378347,0.0046733589842915535,cuda:0,float32,20,32,128,18,2
100,409600,4950,0.75,3709.55,0.614940620600828,0.0013992890501592188,0.6150377355079399,0.46194707235263194,0.00451132411059922,0.46117593099188525,1.331192808451023,1.3336293032143562,0.0046733589842915535,cuda:0,float32,20,32,128,18,2
100,409600,4950,1.0,4950.0,0.614940620600828,0.0013992890501592188,0.6150377355079399,0.6156789950997336,0.0020158183048763064,0.6152035684935981,0.9988007151376247,0.9997304420940466,0.0046733589842915535,cuda:0,float32,20,32,128,18,2
250,1024000,31125,0.1,3100.2,3.8645848707979895,0.013351137140065607,3.8659792760008713,0.3847429074012325,0.006403118142728817,0.38564572850009426,10.044590287320808,10.024691031940021,0.004655319731682539,cuda:0,float32,20,32,128,18,2
250,1024000,31125,0.25,7781.35,3.8645848707979895,0.013351137140065607,3.8659792760008713,0.9673382370499894,0.00877553793606283,0.9658450819988502,3.9950709304984064,4.00269085389977,0.004655319731682539,cuda:0,float32,20,32,128,18,2
250,1024000,31125,0.5,15563.5,3.8645848707979895,0.013351137140065607,3.8659792760008713,1.9318229297539802,0.012155634206843022,1.9321154460049002,2.000486075237832,2.000904906585518,0.004655319731682539,cuda:0,float32,20,32,128,18,2
250,1024000,31125,0.75,23330.0,3.8645848707979895,0.013351137140065607,3.8659792760008713,2.895854165997298,0.012000569897929431,2.8944212300120853,1.3345233044451574,1.3356657406720063,0.004655319731682539,cuda:0,float32,20,32,128,18,2
250,1024000,31125,1.0,31125.0,3.8645848707979895,0.013351137140065607,3.8659792760008713,3.8779193534981458,0.004909982241267513,3.87576151000394,0.9965614337265349,0.9974760485190279,0.004655319731682539,cuda:0,float32,20,32,128,18,2
500,2048000,124750,0.1,12486.95,15.502832064597168,0.05003439260421078,15.509070054496988,1.5536108493004577,0.01293266227255971,1.5527226225094637,9.978581233246155,9.988306880872061,0.004671196453273296,cuda:0,float32,20,32,128,18,2
500,2048000,124750,0.25,31158.4,15.502832064597168,0.05003439260421078,15.509070054496988,3.8676327289489563,0.016506557332536153,3.8631947999965632,4.0083516587703825,4.014571062922011,0.004671196453273296,cuda:0,float32,20,32,128,18,2
500,2048000,124750,0.5,62338.65,15.502832064597168,0.05003439260421078,15.509070054496988,7.754298250051216,0.031339198552016494,7.764944890484912,1.9992566141616717,1.9973187541229882,0.004671196453273296,cuda:0,float32,20,32,128,18,2
500,2048000,124750,0.75,93519.15,15.502832064597168,0.05003439260421078,15.509070054496988,11.62325189915282,0.028420422421509595,11.61552272150584,1.3337775176090882,1.3352020762511485,0.004671196453273296,cuda:0,float32,20,32,128,18,2
500,2048000,124750,1.0,124750.0,15.502832064597168,0.05003439260421078,15.509070054496988,15.565829353296431,0.01752707716085178,15.569459601989365,0.9959528472740246,0.9961212817248544,0.004671196453273296,cuda:0,float32,20,32,128,18,2
